MANIFEST_INDEX	RELATIVE_PATH	SHA256	LINE_COUNT	ROLE
01	BOOT.md	dadf7f73e3f66cbe1911751844da2b0000e4d32f8fc1c4f01018caac4853b0a2	209	CANONICAL_DOCUMENTATION
02	ROADMAP_INDEX.md	c66b93515fc0bf4d87516af78b72516137ee2221858d433131b8845311cdaf29	50	CANONICAL_DOCUMENTATION
03	ecosystem/projects/earesmes-arfin-bridge/docs/00_PROJECT_BOOT.md	c69c2ff4ea5a8c23bde009d8c905f8526375bfb66bdd7415c05839a27a2c6a58	46	CANONICAL_DOCUMENTATION
04	ecosystem/projects/earesmes-arfin-bridge/docs/01_PRD.md	af4c73b3581a9206090611b1e30bf2fc54e881dff74a00f83a656ad4fbcd2c3e	54	CANONICAL_DOCUMENTATION
05	ecosystem/projects/earesmes-arfin-bridge/docs/02_ARCHITECTURE.md	31bc370113cd4aa96e7049bbbcd800ca6544716a9723941bc994370d105a79c4	86	CANONICAL_DOCUMENTATION
06	ecosystem/projects/earesmes-arfin-bridge/docs/03_CONTRACTS.md	493f87c7f1a06c8f4f50a57c16049026344086dbf9c34fdf1e4c2c4868811c34	102	CANONICAL_DOCUMENTATION
07	ecosystem/projects/earesmes-arfin-bridge/docs/04_BEHAVIOR_AND_ACCEPTANCE.md	37b0e8e1e9a71c21f5c030bcfa92802bd4b2adc7d1e5338333d036df48f57747	66	CANONICAL_DOCUMENTATION
08	ecosystem/projects/earesmes-arfin-bridge/docs/05_EXECUTION_ROADMAP.md	dbd7d4cb329d1dc8f380c20e93cadc835167b13725da1fa8226952e36ffdcd7f	164	CANONICAL_DOCUMENTATION
09	ecosystem/projects/earesmes-arfin-bridge/docs/MILESTONE_TRACKER.tsv	a2e473218cc01a1fa8d280ace82a2f613be0e5ceafe62ae6a1aca4f8461aef75	19	CANONICAL_DOCUMENTATION
10	ecosystem/projects/earesmes-arfin-bridge/docs/CURRENT_HANDOFF.md	06950fb7b6181b95f465c8ceb18cab768e2f177eab85de3cebc04f0d06b443d5	81	CANONICAL_DOCUMENTATION
11	ecosystem/projects/earesmes-arfin-bridge/docs/IMPLEMENTATION_PREREQUISITES.tsv	2e25407405585f8e22cc1b2563136b9d49107e25913e5f39f9009f8cc099968b	12	CANONICAL_DOCUMENTATION
12	ecosystem/projects/earesmes-arfin-bridge/docs/PROGRESS_LOG.md	b9118f029ff67508249c9bf12a302004168303c8a53778cf9f3b8e0dd5854c5e	288	CANONICAL_DOCUMENTATION
13	ecosystem/projects/earesmes-arfin-bridge/docs/REQUIREMENTS_TRACEABILITY.tsv	d658b80300e2f2dc384c7fa54dd15f57f84f0676ca041dd85932f094f2f95907	15	CANONICAL_DOCUMENTATION
15	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/G1_1_FINAL_SUMMARY.txt	c5636d2c83fc014d7feca5fa73c86a4848b8966fee8e74bed00cf8fa7fbb381d	41	CANONICAL_DESIGN_PACKAGE
16	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/PENDING_ID_CONTRACT.md	7828e563c7931d37765e2b61565da54910929aec9e54c8c16b3f0e80b736fa20	26	CANONICAL_DESIGN_PACKAGE
17	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/SHORT_REFERENCE_CONTRACT.md	643e3765a4a23c121c5f6dd7f845e0130936103dc93025aa32169195ab1c3d91	36	CANONICAL_DESIGN_PACKAGE
18	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/PENDING_VERSION_CONTRACT.md	d28046f17376ff2fa31d115b999c9036412b6e08e4744ddab7ddeb543228f4f0	44	CANONICAL_DESIGN_PACKAGE
19	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/PENDING_LIFECYCLE.tsv	045a68d7d6ea13d03e9357e8acca8d9572b7b56e310891945df419077b418f5d	6	CANONICAL_DESIGN_PACKAGE
20	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/CONCURRENCY_MATRIX.tsv	fb585871548b3a1a49d68fb718b98f440e0a19d0abc77876311d9cd80f36694c	9	CANONICAL_DESIGN_PACKAGE
21	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/MIGRATION_AND_BACKFILL_PLAN.md	d883517a53c170f66f6f2fb02e094fd0772f8add22596d6ddab117d18afeaea0	31	CANONICAL_DESIGN_PACKAGE
22	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/SOURCE_PATH_CANDIDATES.tsv	523f1e8f37707bfbdbe9362a736d55a0997581fbb1d0fa3164715520ebdda219	10	CANONICAL_DESIGN_PACKAGE
23	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/TEST_VECTORS.tsv	7abfed2b6236749ac53091de4d3489d31ffb15b5ff6f9a4b3ffb4f520f1bce3e	17	CANONICAL_DESIGN_PACKAGE
24	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/OWNER_FINDING_TEST_COVERAGE.tsv	974f43b33316e155429d63c4c68fc8208cb75cd65658c412e818d20b62c8cb23	15	CANONICAL_DESIGN_PACKAGE
25	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/OPEN_DECISIONS.tsv	f308f903e18f64732d7080dbd2bd01998827ae2fee270ffd38b3bdb52807dd39	7	CANONICAL_DESIGN_PACKAGE
26	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_1/FINAL_SEMANTIC_VALIDATION.tsv	424ff38443c986146acc7c0c43ace8824f29dea0b4aa7cada1b853cba6d9c203	11	CANONICAL_DESIGN_PACKAGE
27	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/G1_2_REMEDIATION_SUMMARY.txt	15207b24762e9d4fda721c8dd9fcf60cc41a8c1653fa346be8222810e716bff2	50	CANONICAL_DESIGN_PACKAGE
28	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/TRUST_BOUNDARY_AND_AUTHORITY_CONTRACT.md	d512ddf453448a4d0b3ba48cfe635ff25e3df08c50e066a3e49b7f2aba985c79	48	CANONICAL_DESIGN_PACKAGE
29	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/BOUNDED_OPERATION_ALLOWLIST.tsv	b8b59f9bfe0514195513fc41c521fd276e96aa6900a8d4ef479d744277605edd	5	CANONICAL_DESIGN_PACKAGE
30	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/OPERATION_REQUIRED_FIELD_MATRIX.tsv	e0307196a97566ebb6ab72b144a653d196161861ef946350f0899ec681c2fe52	5	CANONICAL_DESIGN_PACKAGE
31	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/SERVICE_AUTHENTICATION_CONTRACT.md	56aa387cbda839cca730ba5d46a748d1233c83d92619c70037f5a3ec1c380d8b	42	CANONICAL_DESIGN_PACKAGE
32	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/OWNER_AUTHORIZATION_AND_ALLOWLIST_CONTRACT.md	18394746c59f84ac8ed94b1991cd2719a53ceb1c613f42185dc2dde64c38312f	27	CANONICAL_DESIGN_PACKAGE
33	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/REQUEST_RESPONSE_SCHEMA.md	baa0b7fb5dc48d1060cc7f587c7d7c2f668e5f6a5a42c801b7cab17fca85f763	87	CANONICAL_DESIGN_PACKAGE
34	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/SCHEMA_VERSIONING_CONTRACT.md	ee6d405f683ffa530972155959721d300add37b4141d186ec45cd035632296c7	12	CANONICAL_DESIGN_PACKAGE
35	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/FAIL_CLOSED_ERROR_MATRIX.tsv	014455070458c6db1f7943882f946660f693fbf20012d0ad1277deb7c3aab7a2	24	CANONICAL_DESIGN_PACKAGE
36	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/TIMEOUT_RETRY_AND_REPLAY_CONTRACT.md	810a47da585c16759b0a9af818560f8632f1331b1b50e25a69a6128e06b0e01f	32	CANONICAL_DESIGN_PACKAGE
37	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/SECRET_AND_CONFIGURATION_BOUNDARY.md	7c95b1fd7bd90fd51ccc30c6c5eefa4d16533891dc188e4030ff2e7ecd16045c	23	CANONICAL_DESIGN_PACKAGE
38	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/AUDIT_AND_REDACTION_CONTRACT.md	675f1f8938ea17a4e043cae6718a585451046f3692723140ca676f1284dc4cc5	32	CANONICAL_DESIGN_PACKAGE
