DOMAIN_ID	DOMAIN_NAME	MAPPED_SIGNAL_IDS	COVERAGE_STATUS
DOM-01	SERVICE_HEALTH	SIG-001	PASS
DOM-02	AUTHENTICATION	SIG-002	PASS
DOM-03	OWNER_AUTHORIZATION	SIG-003	PASS
DOM-04	PROMPT_BINDING	SIG-004	PASS
DOM-05	PENDING_REVALIDATION	SIG-005	PASS
DOM-06	REVIEW_QUEUE_STAGING	SIG-006	PASS
DOM-07	IDEMPOTENCY	SIG-007	PASS
DOM-08	DUPLICATE_OPERATION	SIG-008	PASS
DOM-09	ITEMIZED_BATCH	SIG-009	PASS
DOM-10	EXPIRY	SIG-010	PASS
DOM-11	DURABLE_BACKLOG	SIG-011	PASS
DOM-12	REACTIVATION	SIG-012	PASS
DOM-13	DIRECT_ARFIN_COHERENCE	SIG-013	PASS
DOM-14	QUEUE_REPLAY	SIG-014	PASS
DOM-15	TIMEOUT_RECONCILIATION	SIG-015	PASS
DOM-16	OWNER_APPROVAL	SIG-016	PASS
DOM-17	LEDGER_POST_RESULT	SIG-017	PASS
DOM-18	AUDIT_PIPELINE	SIG-018	PASS
DOM-19	TELEGRAM_UPDATE_OWNERSHIP	SIG-019	PASS
DOM-20	CANARY_ROUTE	SIG-020	PASS
