source_id	corpus	source_class	display_path	indexed	unit_counted	text_or_structure_extracted	deep_semantic_review	visual_review	cross_validated	distilled_to_wiki	provenance_linked	comprehension_tested	status
WD-SRC-001	ASSDP	ASSDP_PROGRAM_GUIDANCE	Advanced/130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	YES	4	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-002	ASSDP	EXTERNAL_EXPERT_CURRICULUM	Advanced/Materi Training External/ASSDP Advance for AHM_7^09Okt2025.pdf	YES	152	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-003	ASSDP	EXTERNAL_EXPERT_CURRICULUM	Advanced/Materi Training External/ASSDP Advance Tanadi Santoso Material.pdf	YES	104	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-004	ASSDP	ASSDP_FORMAL_CURRICULUM	Advanced/Materi Training Internal/Materi - SPV Role - ko PET.pptx	YES	10	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-005	ASSDP	ASSDP_FORMAL_CURRICULUM	Advanced/Materi Training Internal/WRAPUP Materi - ASSDP Advance (RAR).pptx	YES	80	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-006	ASSDP	OWNER_APPLIED_PROJECT	Advanced/SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	YES	20	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-007	ASSDP	ASSDP_FORMAL_CURRICULUM	Advanced/Tabel MS ASSDP.xlsx	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-008	ASSDP	ASSDP_PROGRAM_GUIDANCE	Basic/40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	YES	3	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-009	ASSDP	ASSDP_PROGRAM_GUIDANCE	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	YES	3	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-010	ASSDP	ASSDP_PROGRAM_GUIDANCE	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	YES	3	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-011	ASSDP	OWNER_APPLIED_PROJECT	Basic/Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	YES	18	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-012	ASSDP	ASSDP_PROGRAM_GUIDANCE	Basic/Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
