priority	source_id	status	source_class	topic_hint	display_path	units_total	authority	next_pass
1	WD-SRC-062	IN_PROGRESS	NOS_2026_CURRENT	NOS	00. Checklist 2026_Before After Comparison (send MD).xlsx	7	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-063	IN_PROGRESS	NOS_2026_CURRENT	NOS	01. Checklist 2026_Final - BigWing.xlsx	8	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-065	IN_PROGRESS	NOS_2026_CURRENT	NOS	02. Checklist 2026_Final - Wing.xlsx	8	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-066	IN_PROGRESS	NOS_2026_CURRENT	NOS	03. Checklist 2026_Final - Regular H123.xlsx	8	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-067	IN_PROGRESS	NOS_2026_CURRENT	NOS	04. Checklist 2026_Final - Regular H1.xlsx	5	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-068	IN_PROGRESS	NOS_2026_CURRENT	NOS	05. Checklist 2026_Final - AHASS H23.xlsx	5	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-069	IN_PROGRESS	NOS_2026_CURRENT	NOS	06. NOS POS 2026.xlsx	4	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-070	IN_PROGRESS	NOS_2026_CURRENT	NOS	07. NOS BTL 2026.xlsx	2	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-072	IN_PROGRESS	NOS_2026_CURRENT	NOS	Checlist NOS 2026 H1 Premises Dealer.xlsx	2	CURRENT_OFFICIAL_NETWORK_STANDARD	COMPLETE_DEEP_REVIEW
1	WD-SRC-073	IN_PROGRESS	ND_PLAN_RESHAPE_2026	ND Plan | Reshape | Business Review | Network Transformation	ND Plan & Reshape Review_Sinsen 2026.pptx	64	CURRENT_INTERNAL_STRATEGY_REFERENCE	COMPLETE_DEEP_REVIEW
2	WD-SRC-004	IN_PROGRESS	ASSDP_FORMAL_CURRICULUM	SPV Role	Advanced/Materi Training Internal/Materi - SPV Role - ko PET.pptx	10	FORMAL_HONDA_TRAINING	COMPLETE_DEEP_REVIEW
2	WD-SRC-005	IN_PROGRESS	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Advanced/Materi Training Internal/WRAPUP Materi - ASSDP Advance (RAR).pptx	80	FORMAL_HONDA_TRAINING	COMPLETE_DEEP_REVIEW
