source_id	corpus	display_path	extension	source_class	extraction_status	extraction_method	units_declared	units_extracted	extracted_chars	semantic_review	visual_review	canonicalized
WD-SRC-001	ASSDP	Advanced/130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	pdf	ASSDP_PROGRAM_GUIDANCE	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	4	4	4	YES	YES	YES
WD-SRC-002	ASSDP	Advanced/Materi Training External/ASSDP Advance for AHM_7^09Okt2025.pdf	pdf	EXTERNAL_EXPERT_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	152	152	23480	YES	YES	YES
WD-SRC-003	ASSDP	Advanced/Materi Training External/ASSDP Advance Tanadi Santoso Material.pdf	pdf	EXTERNAL_EXPERT_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	104	104	17713	YES	YES	YES
WD-SRC-004	ASSDP	Advanced/Materi Training Internal/Materi - SPV Role - ko PET.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	10	10	3404	YES	YES	YES
WD-SRC-005	ASSDP	Advanced/Materi Training Internal/WRAPUP Materi - ASSDP Advance (RAR).pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	80	80	24210	YES	YES	YES
WD-SRC-006	ASSDP	Advanced/SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	pdf	OWNER_APPLIED_PROJECT	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	20	20	15847	YES	YES	YES
WD-SRC-007	ASSDP	Advanced/Tabel MS ASSDP.xlsx	xlsx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	1	1	14452	YES	YES	YES
WD-SRC-008	ASSDP	Basic/40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	pdf	ASSDP_PROGRAM_GUIDANCE	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	3	3	4823	YES	YES	YES
WD-SRC-009	ASSDP	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	pdf	ASSDP_PROGRAM_GUIDANCE	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	3	3	4152	YES	YES	YES
WD-SRC-010	ASSDP	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	pdf	ASSDP_PROGRAM_GUIDANCE	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	3	3	4152	YES	YES	YES
WD-SRC-011	ASSDP	Basic/Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	pdf	OWNER_APPLIED_PROJECT	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	18	18	6127	YES	YES	YES
WD-SRC-012	ASSDP	Basic/Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	xlsx	ASSDP_PROGRAM_GUIDANCE	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	1	1	17406	YES	YES	YES
WD-SRC-013	ASSDP	Basic/Materi BWI/1 2 Interpersonal Skill ASSDP Basic.PDF	pdf	BWI_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	40	40	6018	YES	YES	YES
WD-SRC-014	ASSDP	Basic/Materi BWI/4 Presentation Skill ASSDP Basic.PDF	pdf	BWI_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	40	40	4886	YES	YES	YES
WD-SRC-015	ASSDP	Basic/Materi BWI/Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	pdf	BWI_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	47	47	7699	YES	YES	YES
WD-SRC-016	ASSDP	Basic/Materi BWI/TS AHM ASSDP Basic.pdf	pdf	BWI_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	137	137	18769	YES	YES	YES
WD-SRC-017	ASSDP	Basic/Materi Internal/1. ASSDP Channel Management 2023.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	27	27	6589	YES	YES	YES
WD-SRC-018	ASSDP	Basic/Materi Internal/10. Sales _ Stock Monitoring per Dealer.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	12	12	2208	YES	YES	YES
WD-SRC-019	ASSDP	Basic/Materi Internal/11. Analisa Pricing _ FID-BA.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	16	16	5264	YES	YES	YES
WD-SRC-020	ASSDP	Basic/Materi Internal/12. PICA.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	31	31	7799	YES	YES	YES
WD-SRC-021	ASSDP	Basic/Materi Internal/13. KPI Highlight - ASSDP Jun_23.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	16	16	1748	YES	YES	YES
WD-SRC-022	ASSDP	Basic/Materi Internal/14. My Hero - ASSDP 2023.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	17	17	7013	YES	YES	YES
WD-SRC-023	ASSDP	Basic/Materi Internal/15. INS ASSDP.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	12	12	6418	YES	YES	YES
WD-SRC-024	ASSDP	Basic/Materi Internal/15. NOS ASSDP.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	16	16	8011	YES	YES	YES
WD-SRC-025	ASSDP	Basic/Materi Internal/15. TTM ASSDP.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	28	28	4098	YES	YES	YES
WD-SRC-026	ASSDP	Basic/Materi Internal/2. ASSDP Basic - PDCA.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	10	10	3493	YES	YES	YES
WD-SRC-027	ASSDP	Basic/Materi Internal/3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	39	39	8822	YES	YES	YES
WD-SRC-028	ASSDP	Basic/Materi Internal/7. Demand Management _ Recovery Rate.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	31	31	11226	YES	YES	YES
WD-SRC-029	ASSDP	Basic/Materi Internal/8. Management Visit Guidance.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	28	28	9116	YES	YES	YES
WD-SRC-030	ASSDP	Basic/Materi Internal/9. Niguri AHM.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	11	11	3313	YES	YES	YES
WD-SRC-031	ASSDP	Basic/Materi Internal/Materi/AUM 191023.pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	15	15	6789	YES	YES	YES
WD-SRC-032	ASSDP	Basic/Materi Internal/Materi/FINAL 19-10-2023 ASSDP MD SHARING.pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	28	28	19333	YES	YES	YES
WD-SRC-033	ASSDP	Basic/Materi Internal/Materi/FINAL 19-10-2023 LOL BALI.pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	16	16	5890	YES	YES	YES
WD-SRC-034	ASSDP	Basic/Materi Internal/Materi/FINAL 19-10-2023 SPV AREA SHARING.pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	13	13	6108	YES	YES	YES
WD-SRC-035	ASSDP	Basic/Materi Internal/Materi/Leading Change AHM Harris Seminyak Handout.pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	55	55	5997	YES	YES	YES
WD-SRC-036	ASSDP	Basic/Materi Internal/txt/1. ASSDP Channel Management 2023.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	309	1	12221	YES	YES	YES
WD-SRC-037	ASSDP	Basic/Materi Internal/txt/10.-Sales-_-Stock-Monitoring-per-Dealer.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	114	1	4511	YES	YES	YES
WD-SRC-038	ASSDP	Basic/Materi Internal/txt/11. Analisa Pricing _ FID-BA.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	231	1	5718	YES	YES	YES
WD-SRC-039	ASSDP	Basic/Materi Internal/txt/12. PICA.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	468	1	8109	YES	YES	YES
WD-SRC-040	ASSDP	Basic/Materi Internal/txt/13. KPI Highlight - ASSDP Jun_23.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	222	1	3142	YES	YES	YES
WD-SRC-041	ASSDP	Basic/Materi Internal/txt/14.-My-Hero-ASSDP-2023.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	304	1	17373	YES	YES	YES
WD-SRC-042	ASSDP	Basic/Materi Internal/txt/15.-INS-ASSDP.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	225	1	13331	YES	YES	YES
WD-SRC-043	ASSDP	Basic/Materi Internal/txt/15.-NOS-ASSDP.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	263	1	15292	YES	YES	YES
WD-SRC-044	ASSDP	Basic/Materi Internal/txt/15.-TTM-ASSDP.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	349	1	24618	YES	YES	YES
