source_id	corpus	source_role	original_source_id	source_class	authority	source_file	searchable_folder	display_path	extension	manifest_sha256	actual_sha256	identity_match	manifest_units_type	manifest_units_total	actual_units_type	actual_units_total	unit_count_match	sheet_names	access_state	resolution_method	duplicate_group	mirror_relationship	storage_class	public_provenance_safe	historical_semantic_review	reconstruction_stage0	reconstruction_stage1	reconstruction_stage2	blocker	notes
WD-SRC-001	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	Advanced	Advanced/130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	pdf	d4b691acf430e6cd33bb5f7ef57e21058479abbb4d9c66840da352a869822230	d4b691acf430e6cd33bb5f7ef57e21058479abbb4d9c66840da352a869822230	EXACT_HASH_MATCH	pages	4	pages	4	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-002	ASSDP	ORIGINAL_SEMANTIC_SOURCE		EXTERNAL_EXPERT_CURRICULUM	FORMAL_EXTERNAL_TRAINING	ASSDP Advance for AHM_7^09Okt2025.pdf	Advanced/Materi Training External	Advanced/Materi Training External/ASSDP Advance for AHM_7^09Okt2025.pdf	pdf	775527ae9e76fc495f5efa5eb91c1c3be21a1aee4f2f3aecaa5f3c1189c17611	775527ae9e76fc495f5efa5eb91c1c3be21a1aee4f2f3aecaa5f3c1189c17611	EXACT_HASH_MATCH	pages	152	pages	152	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-003	ASSDP	ORIGINAL_SEMANTIC_SOURCE		EXTERNAL_EXPERT_CURRICULUM	FORMAL_EXTERNAL_TRAINING	ASSDP Advance Tanadi Santoso Material.pdf	Advanced/Materi Training External	Advanced/Materi Training External/ASSDP Advance Tanadi Santoso Material.pdf	pdf	7a9e8f2bf1e8a5792a0fe427368d487765f907f5c714e9ffec46c671124458c3	7a9e8f2bf1e8a5792a0fe427368d487765f907f5c714e9ffec46c671124458c3	EXACT_HASH_MATCH	pages	104	pages	104	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-004	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	Materi - SPV Role - ko PET.pptx	Advanced/Materi Training Internal	Advanced/Materi Training Internal/Materi - SPV Role - ko PET.pptx	pptx	69f92faedd189b466a64f1d54b71f9e7ca6418bedaa153f15e2262dcf754db29	69f92faedd189b466a64f1d54b71f9e7ca6418bedaa153f15e2262dcf754db29	EXACT_HASH_MATCH	slides	10	slides	10	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-005	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	WRAPUP Materi - ASSDP Advance (RAR).pptx	Advanced/Materi Training Internal	Advanced/Materi Training Internal/WRAPUP Materi - ASSDP Advance (RAR).pptx	pptx	9f0890b20ba163873526f409d267509f95c2f8030d5beba80d8b6f537e6ef2d7	9f0890b20ba163873526f409d267509f95c2f8030d5beba80d8b6f537e6ef2d7	EXACT_HASH_MATCH	slides	80	slides	80	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-006	ASSDP	ORIGINAL_SEMANTIC_SOURCE		OWNER_APPLIED_PROJECT	OWNER_DIRECT_ARTIFACT	SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	Advanced	Advanced/SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	pdf	450981643f33a85fe1a11f34271ea0c2f29e6082b8e0cd6c5250e54ccfe98f2c	450981643f33a85fe1a11f34271ea0c2f29e6082b8e0cd6c5250e54ccfe98f2c	EXACT_HASH_MATCH	pages	20	pages	20	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-007	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	Tabel MS ASSDP.xlsx	Advanced	Advanced/Tabel MS ASSDP.xlsx	xlsx	c43e08a8a4dcac35b6a198a318f90ccbcfc3fb9e32d7228dce00cfacd0b9ab1a	c43e08a8a4dcac35b6a198a318f90ccbcfc3fb9e32d7228dce00cfacd0b9ab1a	EXACT_HASH_MATCH	sheets	1	sheets	1	YES	Sheet3	VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-008	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	Basic	Basic/40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	pdf	7e2e0c3dadcc1f7ab1ecc76b0e00fde986144b244822dcfe2ea027384fffd40c	7e2e0c3dadcc1f7ab1ecc76b0e00fde986144b244822dcfe2ea027384fffd40c	EXACT_HASH_MATCH	pages	3	pages	3	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-009	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	Basic	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	pdf	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	EXACT_HASH_MATCH	pages	3	pages	3	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-010	ASSDP	IDENTICAL_DUPLICATE_ALIAS	WD-SRC-009	ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	Basic	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	pdf	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	EXACT_HASH_MATCH	pages	3	pages	3	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED	Identical content SHA256 match with WD-SRC-009		PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
