source_id	corpus	display_path	extension	size_bytes	sha256	source_class	authority	confidence_role	raw_publication	units_type	units_total	sheet_names	text_chars	semantic_review	canonicalized
WD-SRC-001	ASSDP	Advanced/130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	pdf	1165283	d4b691acf430e6cd33bb5f7ef57e21058479abbb4d9c66840da352a869822230	ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	pages	4		0	NOT_YET	NO
WD-SRC-002	ASSDP	Advanced/Materi Training External/ASSDP Advance for AHM_7^09Okt2025.pdf	pdf	13482672	775527ae9e76fc495f5efa5eb91c1c3be21a1aee4f2f3aecaa5f3c1189c17611	EXTERNAL_EXPERT_CURRICULUM	FORMAL_EXTERNAL_TRAINING	HIGH_FOR_THEORY	DISTILL_PUBLIC_OK_RAW_HOLD	pages	152		23213	PARTIAL_SUBSTANTIVE	NO
WD-SRC-003	ASSDP	Advanced/Materi Training External/ASSDP Advance Tanadi Santoso Material.pdf	pdf	22729992	7a9e8f2bf1e8a5792a0fe427368d487765f907f5c714e9ffec46c671124458c3	EXTERNAL_EXPERT_CURRICULUM	FORMAL_EXTERNAL_TRAINING	HIGH_FOR_THEORY	DISTILL_PUBLIC_OK_RAW_HOLD	pages	104		17478	PARTIAL_SUBSTANTIVE	NO
WD-SRC-004	ASSDP	Advanced/Materi Training Internal/Materi - SPV Role - ko PET.pptx	pptx	7430387	69f92faedd189b466a64f1d54b71f9e7ca6418bedaa153f15e2262dcf754db29	ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	slides	10		2176	PARTIAL_SUBSTANTIVE	NO
WD-SRC-005	ASSDP	Advanced/Materi Training Internal/WRAPUP Materi - ASSDP Advance (RAR).pptx	pptx	16395116	9f0890b20ba163873526f409d267509f95c2f8030d5beba80d8b6f537e6ef2d7	ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	slides	80		20637	PARTIAL_SUBSTANTIVE	NO
WD-SRC-006	ASSDP	Advanced/SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	pdf	4462058	450981643f33a85fe1a11f34271ea0c2f29e6082b8e0cd6c5250e54ccfe98f2c	OWNER_APPLIED_PROJECT	OWNER_DIRECT_ARTIFACT	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	pages	20		16114	PARTIAL_SUBSTANTIVE	NO
WD-SRC-007	ASSDP	Advanced/Tabel MS ASSDP.xlsx	xlsx	14452	c43e08a8a4dcac35b6a198a318f90ccbcfc3fb9e32d7228dce00cfacd0b9ab1a	ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	sheets	1	Sheet3		NOT_YET	NO
WD-SRC-008	ASSDP	Basic/40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	pdf	491658	7e2e0c3dadcc1f7ab1ecc76b0e00fde986144b244822dcfe2ea027384fffd40c	ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	pages	3		5048	NOT_YET	NO
WD-SRC-009	ASSDP	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	pdf	517157	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	pages	3		4313	NOT_YET	NO
WD-SRC-010	ASSDP	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	pdf	517157	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	pages	3		4313	NOT_YET	NO
WD-SRC-011	ASSDP	Basic/Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	pdf	2254747	1c78d5fc69644a6a4e2210cfcdef05b420715d565cad726f01800f8eb8988585	OWNER_APPLIED_PROJECT	OWNER_DIRECT_ARTIFACT	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	pages	18		7758	NOT_YET	NO
WD-SRC-012	ASSDP	Basic/Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	xlsx	17406	7a890a884a326f9e38d96ead1ed7d8b13811cdff274b865ddae89de78f2895cd	ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	sheets	1	Sheet1		NOT_YET	NO
WD-SRC-013	ASSDP	Basic/Materi BWI/1 2 Interpersonal Skill ASSDP Basic.PDF	pdf	6083462	6ab34629283cc0778290d4907a108576072f9d0eba45443ab83e0d95e4a2ca22	BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	HIGH_FOR_THEORY	DISTILL_PUBLIC_OK_RAW_HOLD	pages	40		5966	PARTIAL_SUBSTANTIVE	NO
WD-SRC-014	ASSDP	Basic/Materi BWI/4 Presentation Skill ASSDP Basic.PDF	pdf	9437397	10639600cb873863bd53de16b3aefad42f10d51ed65f5d91f698fbe4b187986b	BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	HIGH_FOR_THEORY	DISTILL_PUBLIC_OK_RAW_HOLD	pages	40		4762	PARTIAL_SUBSTANTIVE	NO
WD-SRC-015	ASSDP	Basic/Materi BWI/Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	pdf	2724666	6768f46f2bdd7270ddf89dbdc682b3e4d10360257d56ed6fe49dc86f3cfae3d6	BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	HIGH_FOR_THEORY	DISTILL_PUBLIC_OK_RAW_HOLD	pages	47		7488	PARTIAL_SUBSTANTIVE	NO
WD-SRC-016	ASSDP	Basic/Materi BWI/TS AHM ASSDP Basic.pdf	pdf	27270790	7ac65f916f9c92b2cf29e4cdf41825e1dd134a6c7ad4cc8989b7c3fa6b59bbe1	BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	HIGH_FOR_THEORY	DISTILL_PUBLIC_OK_RAW_HOLD	pages	137		18511	PARTIAL_SUBSTANTIVE	NO
WD-SRC-017	ASSDP	Basic/Materi Internal/1. ASSDP Channel Management 2023.pptx	pptx	4565590	1e30f6df8d01e28230df42e2ba42583c52dca957ea8009409ebbfe0a851ec9af	ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	HIGH	DISTILL_PUBLIC_OK_RAW_HOLD	slides	27		4735	PARTIAL_SUBSTANTIVE	NO
