bundle	relative_path	filename	extension	bytes	sha256	units_type	units_total	source_role	scope	privacy_class	authority_hint	duplicate_group	notes
All.zip	All/08) Juklak Pemakaian Seragam FLP.pdf	08) Juklak Pemakaian Seragam FLP.pdf	pdf	447105	abcf7d6ea92499ea79f6f99017a7f08f7752e2ff58f6fc8ba2acc7525e087db0	pages	2	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/8. Guidance VE to MD (Reg Meeting Feb 2024).pdf	8. Guidance VE to MD (Reg Meeting Feb 2024).pdf	pdf	1540187	735564a32b6e945ca96cc57c34d0bcb2f7b1d5ae4b31c5b11ea841137b5c9eab	pages	15	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/AHM-Showroom-I (1).pptx	AHM-Showroom-I (1).pptx	pptx	21856010	bce552947a52be9b798be75beafb4e21ab81c494cd1e3d0f60207b03ea8d92f0	slides	28	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Activity BTL.pdf	Activity BTL.pdf	pdf	6757393	7a5e278800f4daea4f70deda6d5ecd1792bd03a42d941f8f02fa5631b49e76c7	pages	9	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/COE VIRTUAL EXHIBITION 2022.pptx	COE VIRTUAL EXHIBITION 2022.pptx	pptx	5522422	4c09503fce8b125a2f3351d7dd636329a9f0d886d7954ec3bacf4738b04ce721	slides	1	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Export Work Notion/5 Weapon Of Influence 285de854621780b3894bc70ae9edb718.md	5 Weapon Of Influence 285de854621780b3894bc70ae9edb718.md	md	36034	ff09e5179a6e3eb1a00fc33807f3e559caa32fd5cce4924eb3c7013436124de0	lines	713	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/9 Minutes 9 Slides 285de85462178075b929e19d2f415573.md	9 Minutes 9 Slides 285de85462178075b929e19d2f415573.md	md	12699	8afde4868a958bcac9518bd26a771ff4a53f5978a33cf1e1af4131578519eefa	lines	284	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/AHM efa3ada8accd495faa800193d72c6893.md	AHM efa3ada8accd495faa800193d72c6893.md	md	111177	718b0d9e8c9e08c873173632ae2597fd8e73d616ae69a41e51245828333386f5	lines	972	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/ASSDP Advance 284de854621780dca204c6ec00b7e3ad.md	ASSDP Advance 284de854621780dca204c6ec00b7e3ad.md	md	10330	033b398bd9a2c3c73cec68748540cee5f4c38d5c24b35e04f83eed4a62aef860	lines	202	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/ASSDP Intermediate f2b38f764c394383a08a8b4f912c8174.md	ASSDP Intermediate f2b38f764c394383a08a8b4f912c8174.md	md	332	6a571760ab1f4fe15fae03a6ff46f15485538a5bd6b880b0776a3b52ad883f71	lines	11	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Akun Kerja 19dde85462178061a1bcca26d7cf03e6.md	Akun Kerja 19dde85462178061a1bcca26d7cf03e6.md	md	112	4094eeb4e57050f67af253b0ef74e0b3cbce48c1f63d749dcf3d552665ca06ae	lines	6	SECRET_EXCLUSION	EXCLUDED_SECURITY	HIGHLY_SENSITIVE_EXCLUDED	DO_NOT_INGEST		
All.zip	All/Export Work Notion/BWI 285de8546217800cb9f8c38666c11b67.md	BWI 285de8546217800cb9f8c38666c11b67.md	md	102824	5b4ce82a461bfff88d2926a303a8aa1605c4496ada499d1273b49bfacc437295	lines	1843	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/BWI c68a6699daba4d2bb6ccfff822456f66.md	BWI c68a6699daba4d2bb6ccfff822456f66.md	md	71966	98b656fd0064c071cc7ff6f015eb7aa20f98cb8800955657c0b2daa9e69e4eac	lines	1793	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Change Management 286de854621780a4a9acc9ebb345d1db.md	Change Management 286de854621780a4a9acc9ebb345d1db.md	md	17698	066d4270393aecee9e09c13fcf51b90d14d918835d00ca99647fd00e1f084d37	lines	289	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Data Analytics 19dde8546217807e8f50f06cff3fb851.md	Data Analytics 19dde8546217807e8f50f06cff3fb851.md	md	173523	03ebf0c69a57bc5bf56a76ab399d98e975041fd27de9fbf7b26e05b37d2c5bca	lines	1837	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Final Project Presentation 108de85462178023b2e5d7eff76fc8da.md	Final Project Presentation 108de85462178023b2e5d7eff76fc8da.md	md	90659	8281e57ff70dea5cecdf0d46b7f4624aa9d53038255326ffb8bf1cf8f6a65416	lines	1741	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Final Project Presentation Breakthrough Strategy & 160de85462178026b9b6dd149983e583.md	Final Project Presentation Breakthrough Strategy & 160de85462178026b9b6dd149983e583.md	md	3750	09e25b9b05d8ed91fb38c0b7d994532a3533e043cc6a4bdc213b21cab6a4fdba	lines	75	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Focus on Your Customer 286de854621780f0bddfe35c65143096.md	Focus on Your Customer 286de854621780f0bddfe35c65143096.md	md	24927	8131c7bdd8a08ec4bec541f68a380e9079445ecd9679f428466fa5977d6445e3	lines	426	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/How to Good SPV 284de8546217803e8df1e64c534f4725.md	How to Good SPV 284de8546217803e8df1e64c534f4725.md	md	41551	65faca19ab2f9a4ccbc3ba461f98e5f62c6ce0dcb9308e4dac77a797a88284df	lines	794	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Leader as Coach 285de8546217801fb244cc465552a1d9.md	Leader as Coach 285de8546217801fb244cc465552a1d9.md	md	44651	6e69df979b3e64fc5874833b29c17370c47790c984b68c30c4ad8308364bbcd6	lines	1021	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/NHDP 13cde8546217809fbff8fd050c0ada94.md	NHDP 13cde8546217809fbff8fd050c0ada94.md	md	43829	d251eb02e273e41622e69d8fcaaf61c160bda7aeb0fb44986e558dca637739a4	lines	561	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/NPS 286de854621780b89eadfbf5a9978704.md	NPS 286de854621780b89eadfbf5a9978704.md	md	7508	599b328c1513ccabed3a2d50dd7cc46fd5cce58a1a1e1a354485fb4c666282d0	lines	125	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Network Assisting Program (NAP) 197de854621780fa8940dc8f8705c324.md	Network Assisting Program (NAP) 197de854621780fa8940dc8f8705c324.md	md	33	4bde2685e7cb9f3ce850f91564ae9024acd8a96b2eec9c4783fef19a5288d7c4	lines	1	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Organizational Development 286de85462178012b249c4e93d559cc2.md	Organizational Development 286de85462178012b249c4e93d559cc2.md	md	10077	e341d0590c46d2268e62bd5737b33db79179465a54f724d1d75f3641b301a599	lines	195	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Power of Moments 286de854621780c28241e5e09a463375.md	Power of Moments 286de854621780c28241e5e09a463375.md	md	29734	c2a1ae36b68a10069625382c563007231c29ab7ac4cdf0765d89626f4393402a	lines	558	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
