source_file	classification	period_or_as_of	authority_status	duplicate_status	public_memory_handling	source_sha256	note
1. D-READY_Dealer_View_Template_V8_Lightweight_Fixed (Ada Master Data jg di dalam nya).xlsx	PROFESSIONAL_REFERENCE	UNDATED_SUPPLIED	REFERENCE_CURRENTNESS_UNRESOLVED	UNIQUE_SHA256	DO_NOT_PROMOTE_TEMPLATE_VALUES_AS_CURRENT_FACT	7291c9f20bae43bf3002882a9044ad39be7c1d7caac4c1c3b9fbff9dd17d0212	Template + master data; not a current-state source without explicit period authority.
MAPPING RING 2022/Peta Batanghari.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	dfdab4ff844183d8ca843681da4056ee3938625c1076cc9d2c2b5b54fa62272d	Current Ring authority not supplied.
MAPPING RING 2022/Peta Bungo.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	66329a592a3c1d023f114c82fe47a3ce814221d134809233178c8fb300aaf4d7	Current Ring authority not supplied.
MAPPING RING 2022/Peta Kota Jambi.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	ba209c6ea64663b74d6d37e83048601680e1adb11382bd5083d463c6102e25b6	Current Ring authority not supplied.
MAPPING RING 2022/Peta Merangin.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	980a4c294b6930a71f3ad1a7b5f6803af3f212b06b5fc6f87eeb4608d3bfe095	Current Ring authority not supplied.
MAPPING RING 2022/Peta Muaro Jambi.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	bfc8e6596414f15b1a38d8c2f7465fd063f544400d2ca5d7e65e80ff2d62a5fe	Current Ring authority not supplied.
MAPPING RING 2022/Peta Sarolangun.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	f7d08fde979030087a49e8cb6d395ab0fcbae0f15bf9a5767bfde32bf5a84127	Current Ring authority not supplied.
MAPPING RING 2022/Peta TJB.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	d792e7d3386b7b2b36525775970df00fa08a3dfdebf1567da86e97b44f3157b8	Current Ring authority not supplied.
MAPPING RING 2022/Peta TJT.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	c7e339c643e8e4d749ebfeea3ce0344493d9a15d6c944439a9ab92873e689e85	Current Ring authority not supplied.
MAPPING RING 2022/Peta Tebo.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	034aeb3340eb2369a191fc650bf27387aa034272a564a2f12cc4cf8328909bf3	Current Ring authority not supplied.
