knowledge	source_filename	location
Influence - Social Proof/Liking/Contrast/Time Machine/Higher Purpose	ASSDP Advance for AHM_7^09Okt2025.pdf	pp.5-26
9-slide empathy-curiosity-confidence presentation	ASSDP Advance for AHM_7^09Okt2025.pdf	pp.27-41
Meeting presentation: Insightful/Confidence/Simple	ASSDP Advance for AHM_7^09Okt2025.pdf	pp.43-54
Coaching competencies + GROW + flow	ASSDP Advance for AHM_7^09Okt2025.pdf	pp.55-79
Time/focus management + Big Rocks	ASSDP Advance for AHM_7^09Okt2025.pdf	pp.80-117
Critical/creative/SCAMPER/innovation	ASSDP Advance for AHM_7^09Okt2025.pdf	pp.118-151
Customer-centric tensions/trust/NPS	ASSDP Advance Tanadi Santoso Material.pdf	pp.1-32
Power of Moments	ASSDP Advance Tanadi Santoso Material.pdf	pp.33-51
Culture/Humanocracy	ASSDP Advance Tanadi Santoso Material.pdf	pp.53-69
AI coach prompting guidance	ASSDP Advance Tanadi Santoso Material.pdf	pp.70-79
Change prerequisites/hurdles/actions	ASSDP Advance Tanadi Santoso Material.pdf	pp.81-100
SPV capability/Dealer Review/Connector+Consultant	Materi - SPV Role - ko PET.pptx	slides 2-9
Integrated Advance operating chain	WRAPUP Materi - ASSDP Advance (RAR).pptx	slides 1-44
Advance final-project standard	130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	pp.1-3
PENETRASI Owner case	SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	pp.1-20
FY2025 Jambi M/S ranking	Tabel MS ASSDP.xlsx	Sheet3 A2:AJ15
