filename	bundle	sha256	location	semantic_role	status
08) Juklak Pemakaian Seragam FLP.pdf	All.zip	abcf7d6ea92499ea79f6f99017a7f08f7752e2ff58f6fc8ba2acc7525e087db0	pages 1-2	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED
Closing Meeting Januari 2026.pdf	All.zip	13fab294ad044010564e07edbcd962c9da673269cbe7f81c3248d7c74b977b9e	pages 1-47	TIME_BOUND_OPERATING_SNAPSHOT	RECONSTRUCTED_WITH_LIMITATIONS
40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	1. ASSDP Lite.zip	7e2e0c3dadcc1f7ab1ecc76b0e00fde986144b244822dcfe2ea027384fffd40c	pages 1-3	HISTORICAL_TRAINING_GOVERNANCE	RECONSTRUCTED_TRUSTED
88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	1. ASSDP Lite.zip	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	pages 1-3	HISTORICAL_TRAINING_GOVERNANCE	RECONSTRUCTED_TRUSTED
Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	1. ASSDP Lite.zip	1c78d5fc69644a6a4e2210cfcdef05b420715d565cad726f01800f8eb8988585	pages 4-17	OWNER_HISTORICAL_CASE	RECONSTRUCTED_WITH_LIMITATIONS
Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	1. ASSDP Lite.zip	7a890a884a326f9e38d96ead1ed7d8b13811cdff274b865ddae89de78f2895cd	Sheet1!A1:N18	HISTORICAL_SCORING_RUBRIC	RECONSTRUCTED_TRUSTED
1 2 Interpersonal Skill ASSDP Basic.PDF	1. ASSDP Lite.zip	6ab34629283cc0778290d4907a108576072f9d0eba45443ab83e0d95e4a2ca22	pages 3-25,33-40	PROFESSIONAL_METHOD	RECONSTRUCTED_TRUSTED
4 Presentation Skill ASSDP Basic.PDF	1. ASSDP Lite.zip	10639600cb873863bd53de16b3aefad42f10d51ed65f5d91f698fbe4b187986b	pages 2-20,34-39	PROFESSIONAL_METHOD	RECONSTRUCTED_TRUSTED
Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	1. ASSDP Lite.zip	6768f46f2bdd7270ddf89dbdc682b3e4d10360257d56ed6fe49dc86f3cfae3d6	pages 3-46	PROFESSIONAL_METHOD	RECONSTRUCTED_TRUSTED
TS AHM ASSDP Basic.pdf	1. ASSDP Lite.zip	7ac65f916f9c92b2cf29e4cdf41825e1dd134a6c7ad4cc8989b7c3fa6b59bbe1	pages 14-27,28-107,108-137	TRAINING_COMPILATION	RECONSTRUCTED_WITH_LIMITATIONS
AUM 191023.pdf	1. ASSDP Lite.zip	8ddc1a1e2f997f266da1b197fe168da235b9a69049f14c59c444e233b71fb22f	pages 5-14	HISTORICAL_DEALER_CASE	RECONSTRUCTED_WITH_LIMITATIONS
FINAL 19-10-2023 ASSDP MD SHARING.pdf	1. ASSDP Lite.zip	b5a7bec8935e7d1dd6a3120da9d9326b9263e568288b6e660c9ff9abb7fa0d4f	pages 4-27	HISTORICAL_MD_CASE	RECONSTRUCTED_WITH_LIMITATIONS
FINAL 19-10-2023 LOL BALI.pdf	1. ASSDP Lite.zip	33e622d42be7464ec14762412f58178b5493a0739b71caabb0f56f7d19318ae0	pages 3-14	HISTORICAL_CRM_CASE	RECONSTRUCTED_WITH_LIMITATIONS
FINAL 19-10-2023 SPV AREA SHARING.pdf	1. ASSDP Lite.zip	28670165e9b701aac4d41b287a66b8dcc6b23526594b741528ebfc0628330642	pages 2-12	HISTORICAL_SPV_BEST_PRACTICE	RECONSTRUCTED_WITH_LIMITATIONS
Leading Change AHM Harris Seminyak Handout.pdf	1. ASSDP Lite.zip	05fe20f34525e3aed384d3b967ab2e27ab1002a445b4ec9e17688ad5b5d2de3f	pages 3-12,19-47	PROFESSIONAL_METHOD	RECONSTRUCTED_WITH_LIMITATIONS
Materi Project ASSDP.pptx	1. ASSDP Lite.zip	8da630403a2e6949a5be43be1e0bdd28608471059f9e2a613a186242b2bc273a	slides 1-101 (99/101 matched to constituents)	AGGREGATION_SOURCE	RECONSTRUCTED_WITH_LIMITATIONS
Project ASSDP Level Basic Tahap 1 by Egit Aristo Randas.pdf	1. ASSDP Lite.zip	971fc6b70b601fd2f018acc8d81ef07f7b85c882892de19ae4c341010bf05cff	pages 4-19	OWNER_HISTORICAL_IMPLEMENTATION_CASE	RECONSTRUCTED_WITH_LIMITATIONS
ASSDP INTERMEDIATE CLOSING.pptx	1. ASSDP Lite.zip	dc34837182340254a5bcbaa00744081590d11516219d27167f9a2d36ef97a91b	slides 2-4	TRAINING_CLOSING_SYNTHESIS	RECONSTRUCTED_WITH_LIMITATIONS
02. Checklist 2023 Regular H123.xlsx	NOS.zip	68703d69a98823d43a8e0fd60762ff36c7da14cfeb4dd6d5373b4f7fd8682372	H1/H23 Premises/People/Process; kriteria; Result Summary	HISTORICAL_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS
