bundle	filename	sha256	units_type	units_total	authority_hint	semantic_role	coverage_status	reconstruction_batch	provenance_note	limitations
All.zip	08) Juklak Pemakaian Seragam FLP.pdf	abcf7d6ea92499ea79f6f99017a7f08f7752e2ff58f6fc8ba2acc7525e087db0	pages	2	OPERATIONAL_REFERENCE	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	2025 instruction reconstructed directly. Treat as latest supplied FLP uniform guidance, not independently confirmed as still-current in 2026.
All.zip	Closing Meeting Januari 2026.pdf	13fab294ad044010564e07edbcd962c9da673269cbe7f81c3248d7c74b977b9e	pages	47	OPERATIONAL_REFERENCE	TIME_BOUND_OPERATING_SNAPSHOT	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	BEST meeting snapshot dated 31 Jan 2026. Dealer-level tables are not promoted as evergreen rules; later 2026 BEST/business-memory sources supersede where applicable.
1. ASSDP Lite.zip	40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	7e2e0c3dadcc1f7ab1ecc76b0e00fde986144b244822dcfe2ea027384fffd40c	pages	3	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	HISTORICAL_TRAINING_GOVERNANCE	RECONSTRUCTED_TRUSTED	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Historical 2023 graduation/project instruction; not a current operating policy.
1. ASSDP Lite.zip	88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	pages	3	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	HISTORICAL_TRAINING_GOVERNANCE	RECONSTRUCTED_TRUSTED	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Historical 2023/2024 final-project instruction; not a current operating policy.
1. ASSDP Lite.zip	Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	1c78d5fc69644a6a4e2210cfcdef05b420715d565cad726f01800f8eb8988585	pages	18	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	OWNER_HISTORICAL_CASE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Historical project case. Incentive amounts and observed sales changes are case facts, not current program terms or causal forecasts.
1. ASSDP Lite.zip	Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	7a890a884a326f9e38d96ead1ed7d8b13811cdff274b865ddae89de78f2895cd	sheets	1	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	HISTORICAL_SCORING_RUBRIC	RECONSTRUCTED_TRUSTED	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	One-sheet historical scoring template; no formula-error cells detected in inspected range.
1. ASSDP Lite.zip	1 2 Interpersonal Skill ASSDP Basic.PDF	6ab34629283cc0778290d4907a108576072f9d0eba45443ab83e0d95e4a2ca22	pages	40	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	PROFESSIONAL_METHOD	RECONSTRUCTED_TRUSTED	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Core method reconstructed. Source contains training/external claims that are retained as source claims rather than independently validated universal facts.
1. ASSDP Lite.zip	4 Presentation Skill ASSDP Basic.PDF	10639600cb873863bd53de16b3aefad42f10d51ed65f5d91f698fbe4b187986b	pages	40	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	PROFESSIONAL_METHOD	RECONSTRUCTED_TRUSTED	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Core presentation method reconstructed. Several blank/visual-only pages add little textual semantic content.
1. ASSDP Lite.zip	Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	6768f46f2bdd7270ddf89dbdc682b3e4d10360257d56ed6fe49dc86f3cfae3d6	pages	47	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	PROFESSIONAL_METHOD	RECONSTRUCTED_TRUSTED	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Time-management and Basic problem-solving method reconstructed; example percentages and dates remain historical training examples.
1. ASSDP Lite.zip	TS AHM ASSDP Basic.pdf	7ac65f916f9c92b2cf29e4cdf41825e1dd134a6c7ad4cc8989b7c3fa6b59bbe1	pages	137	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	TRAINING_COMPILATION	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Large compilation. Interpersonal and Presentation sections substantially duplicate standalone source files; unique Ambidextrous and visual-pitch material retained.
1. ASSDP Lite.zip	AUM 191023.pdf	8ddc1a1e2f997f266da1b197fe168da235b9a69049f14c59c444e233b71fb22f	pages	15	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	HISTORICAL_DEALER_CASE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Dealer turnaround/best-practice sharing from 2021-2023. Reported achievements are historical source claims; causality is not assumed.
1. ASSDP Lite.zip	FINAL 19-10-2023 ASSDP MD SHARING.pdf	b5a7bec8935e7d1dd6a3120da9d9326b9263e568288b6e660c9ff9abb7fa0d4f	pages	28	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	HISTORICAL_MD_CASE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Bali 2023 market/strategy/activity sharing plus 2024 outlook. Numerical market/program details are historical, not current Jambi rules.
1. ASSDP Lite.zip	FINAL 19-10-2023 LOL BALI.pdf	33e622d42be7464ec14762412f58178b5493a0739b71caabb0f56f7d19318ae0	pages	16	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	HISTORICAL_CRM_CASE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Historical lead-management improvement case. Reported uplift is evidence from that project, not a transferable forecast.
1. ASSDP Lite.zip	FINAL 19-10-2023 SPV AREA SHARING.pdf	28670165e9b701aac4d41b287a66b8dcc6b23526594b741528ebfc0628330642	pages	13	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	HISTORICAL_SPV_BEST_PRACTICE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	2023 Bali Area-SPV best-practice sharing; durable operating principles separated from local historical examples.
1. ASSDP Lite.zip	Leading Change AHM Harris Seminyak Handout.pdf	05fe20f34525e3aed384d3b967ab2e27ab1002a445b4ec9e17688ad5b5d2de3f	pages	55	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	PROFESSIONAL_METHOD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Change/resilience/persuasion training reconstructed. Motivational statements and external claims are retained as training framing, not empirical guarantees.
1. ASSDP Lite.zip	Materi Project ASSDP.pptx	8da630403a2e6949a5be43be1e0bdd28608471059f9e2a613a186242b2bc273a	slides	101	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	AGGREGATION_SOURCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	99 of 101 slide texts matched exactly to already reconstructed constituent decks; treated as an aggregation/provenance source, not 101 new semantic units.
1. ASSDP Lite.zip	Project ASSDP Level Basic Tahap 1 by Egit Aristo Randas.pdf	971fc6b70b601fd2f018acc8d81ef07f7b85c882892de19ae4c341010bf05cff	pages	20	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	OWNER_HISTORICAL_IMPLEMENTATION_CASE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Historical application case showing before/after adoption of ASSDP routines. It demonstrates implementation, not current policy authority.
1. ASSDP Lite.zip	ASSDP INTERMEDIATE CLOSING.pptx	dc34837182340254a5bcbaa00744081590d11516219d27167f9a2d36ef97a91b	slides	4	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	TRAINING_CLOSING_SYNTHESIS	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Only four slides. Preserves New/Breakthrough framing and Push-vs-Pull distinction; too thin to be a standalone operating method.
NOS.zip	02. Checklist 2023 Regular H123.xlsx	68703d69a98823d43a8e0fd60762ff36c7da14cfeb4dd6d5373b4f7fd8682372	sheets	8	HISTORICAL_NETWORK_STANDARD	HISTORICAL_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	Exact original filename retained. Page/slide/sheet ranges are cited inside source dossier.	Eight-sheet blank audit template inspected at key ranges. Blank inputs produce expected #DIV/0! in summary formulas. Current NOS questions must resolve to 2026 standards.
