workbook	sheet	checklist_rows	mandatory_S_G_P	mandatory_G_P	mandatory_P	mandatory_blank	structural_blank_hierarchy_rows
01. Checklist 2026_Final - BigWing.xlsx	H1 People	141	4	3	3	131	0
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	92	11	5	1	75	1
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	128	4	4	11	109	0
01. Checklist 2026_Final - BigWing.xlsx	H23 People	52	2	3	2	45	0
01. Checklist 2026_Final - BigWing.xlsx	H23 Premises	99	13	4	24	58	0
01. Checklist 2026_Final - BigWing.xlsx	H23 Process	61	6	4	0	51	0
02. Checklist 2026_Final - Wing.xlsx	H1 People	112	4	2	1	105	0
02. Checklist 2026_Final - Wing.xlsx	H1 Premises	80	9	6	1	64	1
02. Checklist 2026_Final - Wing.xlsx	H1 Process	96	4	4	4	84	0
02. Checklist 2026_Final - Wing.xlsx	H23 People	45	2	3	1	39	0
02. Checklist 2026_Final - Wing.xlsx	H23 Premises	73	13	5	4	51	0
02. Checklist 2026_Final - Wing.xlsx	H23 Process	55	5	4	0	46	0
03. Checklist 2026_Final - Regular H123.xlsx	H1 People	101	3	2	1	95	0
03. Checklist 2026_Final - Regular H123.xlsx	H1 Premises	71	9	6	1	55	1
03. Checklist 2026_Final - Regular H123.xlsx	H1 Process	73	3	1	2	67	0
03. Checklist 2026_Final - Regular H123.xlsx	H23 People	45	2	3	1	39	0
03. Checklist 2026_Final - Regular H123.xlsx	H23 Premises	71	12	5	5	49	0
03. Checklist 2026_Final - Regular H123.xlsx	H23 Process	54	5	4	0	45	0
04. Checklist 2026_Final - Regular H1.xlsx	H1 People	101	3	2	1	95	0
04. Checklist 2026_Final - Regular H1.xlsx	H1 Premises	69	9	6	1	53	1
04. Checklist 2026_Final - Regular H1.xlsx	H1 Process	73	3	1	2	67	0
05. Checklist 2026_Final - AHASS H23.xlsx	H23 People	46	2	3	1	40	0
05. Checklist 2026_Final - AHASS H23.xlsx	H23 Premises	75	14	5	4	52	0
05. Checklist 2026_Final - AHASS H23.xlsx	H23 Process	51	5	2	0	44	0
Checlist NOS 2026 H1 Premises Dealer.xlsx	H1 Premises Dealer H1	69	9	6	1	53	1
Checlist NOS 2026 H1 Premises Dealer.xlsx	H1 Premises Dealer H123	71	9	6	1	55	1
