effective_start	effective_end	program_family	product	otr_rupiah	dp_thousand_rupiah	voucher_thousand_rupiah	cukup_bayar_thousand_rupiah	installment_12_thousand	installment_24_thousand	installment_36_thousand	installment_42_thousand	installment_48_thousand	source_filename	source_sheet	source_rows	offer_row	unit_note	data_quality
2026-08-01	2026-08-31	SMH	BeAT Sporty CBS	18035000	1450	150	1300	1751.869206242476	1017.0778227786018	787	707.7194730845362	660.5775650714539	1. PL SMH periode Agustus 2026.xlsx	PL 1	7-9	7	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty CBS	18035000	1850	150	1700	1713.2668107983952	995.1224237389183	769.7642786186371	692.6763749954897	646.6367064650685	1. PL SMH periode Agustus 2026.xlsx	PL 1	7-9	8	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty CBS	18035000	2750	150	2600	1626.411421049213	945.7227758996305	731.8535088952092	658.8294042951355	615.2697746007011	1. PL SMH periode Agustus 2026.xlsx	PL 1	7-9	9	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty ISS Deluxe	18850000	1550	150	1400	1823.474381900514	1058.7387413413774	819	736.7545327836567	687.6981985346828	1. PL SMH periode Agustus 2026.xlsx	PL 1	11-13	11	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty ISS Deluxe	18850000	1900	150	1750	1789.697285886943	1039.527767181654	804.1169119881338	723.5918219557411	675.4999472540953	1. PL SMH periode Agustus 2026.xlsx	PL 1	11-13	12	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty ISS Deluxe	18850000	2850	150	2700	1698.016596707251	987.3836944624059	764.0999883911823	687.8644639942561	642.3904080639297	1. PL SMH periode Agustus 2026.xlsx	PL 1	11-13	13	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty Deluxe Smart Key	19380000	1550	150	1400	1876.3155604221101	1089.4005538702472	843	758.0818850994023	707.6013881062867	1. PL SMH periode Agustus 2026.xlsx	PL 1	15-17	15	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty Deluxe Smart Key	19380000	1950	150	1800	1837.713164978029	1067.4451548305638	825.7201534996418	743.0387870103558	693.6605294999011	1. PL SMH periode Agustus 2026.xlsx	PL 1	15-17	16	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Sporty Deluxe Smart Key	19380000	2950	150	2800	1741.2071763678268	1012.5566572313551	783.5970760291665	705.4310417877401	658.8083829839373	1. PL SMH periode Agustus 2026.xlsx	PL 1	15-17	17	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Scoopy Fashion	21815000	1833	333	1500	2166.705397678785	1295.076135960767	1025.4929065047297	935.2672812797796	882.4525422613208	1. PL SMH periode Agustus 2026.xlsx	PL 1	19-21	19	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Scoopy Fashion	21815000	2233	333	1900	2126.72020274434	1271.6686884748951	1007.1029752813113	918.6255517234882	866.8640297181521	1. PL SMH periode Agustus 2026.xlsx	PL 1	19-21	20	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Scoopy Fashion	21815000	3333	333	3000	2016.7609166746151	1207.2982078887474	956.5306644169112	872.8607954436864	823.9956202244383	1. PL SMH periode Agustus 2026.xlsx	PL 1	19-21	21	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Scoopy Prestige / Scoopy Stylish	22625000	1833	333	1500	2250.3555250745057	1345.035821502238	1065.0413730972516	971.3257487958745	916.4657023484809	1. PL SMH periode Agustus 2026.xlsx	PL 1	23-25	23	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Scoopy Prestige / Scoopy Stylish	22625000	2333	333	2000	2200.3740314064485	1315.7765121448979	1042.0539590679787	950.5235868505101	896.9800616695201	1. PL SMH periode Agustus 2026.xlsx	PL 1	23-25	24	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Scoopy Prestige / Scoopy Stylish	22625000	3433	333	3100	2090.414745336724	1251.4060315587499	991.4816482035787	904.7588305707083	854.1116521758061	1. PL SMH periode Agustus 2026.xlsx	PL 1	23-25	25	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 CBS	23220000	1900	0	1900	2270.7585634034704	1340.8212042965254	1051.328417295143	953.4656240737421	895.6498887027606	1. PL SMH periode Agustus 2026.xlsx	PL 1	27-29	27	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 CBS	23220000	2400	0	2400	2221.5217957247787	1312.3474723366146	1029.177130661172	933.5323225719746	877.0606516636984	1. PL SMH periode Agustus 2026.xlsx	PL 1	27-29	28	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 CBS	23220000	3500	0	3500	2113.200906831658	1249.705262024811	980.4443000664367	889.6790592680861	836.1643301777616	1. PL SMH periode Agustus 2026.xlsx	PL 1	27-29	29	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 CBS ISS	24980000	2000	0	2000	2439.9613063725055	1440.7662813743689	1129.7049857149236	1024.5557505496456	962.4372995367034	1. PL SMH periode Agustus 2026.xlsx	PL 1	31-33	31	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 CBS ISS	24980000	2500	0	2500	2390.724538693814	1412.2925494144579	1107.5536990809526	1004.622449047878	943.8480624976411	1. PL SMH periode Agustus 2026.xlsx	PL 1	31-33	32	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 CBS ISS	24980000	3800	0	3800	2262.7089427292167	1338.26084631869	1049.9603538326287	952.7958651432825	895.5160461960794	1. PL SMH periode Agustus 2026.xlsx	PL 1	31-33	33	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 Street	25315000	2100	600	1500	2414.958765791541	1402.5663280375566	1084.9021854831528	976.2237308759246	911.3108775366004	1. PL SMH periode Agustus 2026.xlsx	PL 1	35-37	35	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 Street	25315000	2600	600	2000	2366.7057714864395	1375.1220792379522	1063.8406467479151	957.4198582646167	893.8848042786186	1. PL SMH periode Agustus 2026.xlsx	PL 1	35-37	36	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Vario 125 Street	25315000	3800	600	3200	2250.8985851541966	1309.255882118902	1013.2929537833446	912.2905639974776	852.0622284594622	1. PL SMH periode Agustus 2026.xlsx	PL 1	35-37	37	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Street	18940000	1600	0	1600	1827.6221127849917	1061.2010393436776	821	738.495771387464	689.3353781172701	1. PL SMH periode Agustus 2026.xlsx	PL 1	7-9	7	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Street	18940000	1900	0	1900	1798.6703162019312	1044.734490063915	808.1430357327619	727.2134478206791	678.8797341624809	1. PL SMH periode Agustus 2026.xlsx	PL 1	7-9	8	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	BeAT Street	18940000	2900	0	2900	1702.1643275917286	989.8459924647063	766.0199582622865	689.6057025980632	644.0275876465171	1. PL SMH periode Agustus 2026.xlsx	PL 1	7-9	9	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Genio CBS - BK	19205000	1600	0	1600	1872.8920239985146	1096.6220596201185	854.0322152774871	771.4903886723031	722.4382117336174	1. PL SMH periode Agustus 2026.xlsx	PL 1	11-13	11	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Genio CBS - BK	19205000	2000	0	2000	1833.897173203179	1074.2569314760774	836.7499823661431	755.9988859894224	708.0358142174487	1. PL SMH periode Agustus 2026.xlsx	PL 1	11-13	12	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Genio CBS - BK	19205000	2900	0	2900	1746.1587589136745	1023.935393151985	797.8649583156188	721.1430049529409	675.6304198060691	1. PL SMH periode Agustus 2026.xlsx	PL 1	11-13	13	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Genio CBS PH / PD	19405000	1600	0	1600	1893.0348141768447	1108.408482152028	863.209080953411	779.7783426076442	730.1975033954534	1. PL SMH periode Agustus 2026.xlsx	PL 1	15-17	15	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Genio CBS PH / PD	19405000	2000	0	2000	1854.0399633815096	1086.043354007987	845.9268480420668	764.2868399247635	715.7951058792845	1. PL SMH periode Agustus 2026.xlsx	PL 1	15-17	16	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
2026-08-01	2026-08-31	SMH	Genio CBS PH / PD	19405000	3000	0	3000	1756.5528363931712	1030.1305336478842	802.7212657637066	725.558083217562	679.7891120888628	1. PL SMH periode Agustus 2026.xlsx	PL 1	15-17	17	DP/voucher/cukup bayar/installment values are source-stated in thousands (000) Rupiah; OTR is stored as full Rupiah.	Structured from source workbook cells. Blank voucher treated as 0 only where source voucher cell is blank; no financing formula was invented.
