dealer	total	0-30	31-60	61-90	91-120	121-150	>150	UNKNOWN	source_file	source_table_range	as_of	derivation
ANUGRAH HONDA MOTOR	92	80	3	4	0	1	4	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. AGUNG MOTOR	70	55	10	1	1	0	3	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. BOBBY RACING SHOP	69	54	2	6	4	0	3	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. CITRA SENTOSA MOTOR - M.ANGIN	101	78	9	4	4	4	2	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. CITRA SENTOSA MOTOR - SRLG	106	90	9	3	1	2	1	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. MAKMUR SENTOSA MOTOR	138	109	15	4	3	3	4	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. MITRA SENTOSA MAS	68	61	5	0	0	0	2	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. WULAN JAYA MOTOR - RIMBO	178	157	11	4	1	1	4	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
CV. WULAN JAYA MOTOR - TEBO	107	85	7	4	2	6	3	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
POS ASTRA - LIVERPOOL	74	42	10	7	5	6	4	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
POS DAYA - BENGKAL	46	34	1	3	2	4	2	0	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	HTML table / 5,239 data rows	2026-08-06 08:03:42	Grouped by dealer and source aging bucket
