dealer	dealer_stock_units_2026-08-06	july_2026_retail_units	derived_daily_sales_july	derived_stock_days	aging_over_90_units	aging_over_150_units	formula	stock_source	retail_source	data_quality	stock_source_range	retail_source_range
ANUGRAH HONDA MOTOR	92	255	8.225806451612904	11.184313725490195	5	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. AGUNG MOTOR	70	177	5.709677419354839	12.259887005649716	4	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. BOBBY RACING SHOP	69	263	8.483870967741936	8.133079847908744	7	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. CITRA SENTOSA MOTOR - M.ANGIN	101	146	4.709677419354839	21.445205479452053	10	2	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. CITRA SENTOSA MOTOR - SRLG	106	263	8.483870967741936	12.494296577946768	4	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. MAKMUR SENTOSA MOTOR	138	229	7.387096774193548	18.681222707423583	10	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. MITRA SENTOSA MAS	68	232	7.483870967741935	9.086206896551724	2	2	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. WULAN JAYA MOTOR - RIMBO	178	442	14.258064516129032	12.484162895927602	6	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
CV. WULAN JAYA MOTOR - TEBO	107	236	7.612903225806452	14.055084745762711	11	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS ASTRA - LIVERPOOL	74	119	3.838709677419355	19.277310924369747	15	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS DAYA - BENGKAL	46	227	7.32258064516129	6.28193832599119	8	2	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS DAYA - SUNDERLAND	87	136	4.387096774193548	19.830882352941178	14	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS PATRIA - BUNGO	81	90	2.903225806451613	27.9	8	2	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS PATRIA - MENDALO	75	132	4.258064516129032	17.613636363636363	10	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS PATRIA - PAUH	82	89	2.870967741935484	28.56179775280899	2	0	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS PATRIA - SEI. GELAM	71	86	2.774193548387097	25.59302325581395	16	6	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
