category	capture_status	source_boundary
Gaji ke-13 PNS	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Inflasi Naik	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Inflasi Stabil	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Inflasi Turun	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Suku Bunga Naik	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Suku Bunga Turun	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Pembangunan Jembatan / Jalan Tol Baru	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Perbaikan Akses Jalan	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Pembebasan Lahan/Tanah	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Hujan	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Kemarau	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Banjir	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Bencana Alam	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Masuk Tahun Ajaran Baru (Sekolah)	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Harga Bahan Baku Pasar Naik	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
(Budaya) Bulan Muharam	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
(Budaya) Bulan Hapit	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Pemerintahan	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Harga Bahan Baku Pasar Turun	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Harga Bahan Baku Pasar Stabil	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
PHK	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
Pembukaan Pabrik Baru	SCREENSHOT_VISIBLE	Visible on supplied screenshot; taxonomy is cropped and not proven complete
