kabupaten	segment	honda_2026	total_market_2026	market_share_2026_pct	honda_2025	total_market_2025	market_share_2025_pct	delta_pp	market_contribution_to_province_2026_pct	period	source_file	provenance
Batanghari	ALL	4597	5659	81.23343346881074	3991	4874	81.88346327451785	-0.6500298057071063	7.159484830849422	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	AT High	867	1517	57.152274225444955	516	1016	50.78740157480315	6.364872650641807	1.9192328129348952	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	AT Low	1350	1374	98.2532751091703	1161	1188	97.72727272727273	0.5260023818975696	1.7383163381493383	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	AT Mid	1035	1090	94.95412844036697	815	871	93.57060849598163	1.3835199443853412	1.3790136889248754	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	Cub High	18	97	18.556701030927837	23	89	25.842696629213485	-7.285995598285648	0.12271956681258066	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	Cub Low	808	809	99.87639060568603	913	913	100.0	-0.12360939431397355	1.0235064902203892	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	Cub Mid	225	454	49.55947136563877	259	468	55.34188034188035	-5.782408976241577	0.5743781786898104	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	Sport High	0	2	0.0	0	1	0.0	0.0	0.0025303003466511475	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	Sport Low	45	45	100.0	36	36	100.0	0.0	0.05693175779965082	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Batanghari	Sport Mid	249	270	92.22222222222223	268	291	92.09621993127148	0.12600229095075122	0.3415905467979049	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Bungo	ALL	7410	8922	83.05312710154674	5244	6487	80.83860027747804	2.214526824068699	11.28766984641077	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
