segment	honda_2026	total_market_2026	market_share_2026_pct	honda_2025	total_market_2025	market_share_2025_pct	delta_pp	honda_growth_pct	market_growth_pct	market_contribution_2026_pct	period	comparable	source_file	sheet_2026	sheet_2025	provenance_range	data_quality
ALL	65031	79042	82.27398092153538	47385	58243	81.357416341878	0.9165645796573898	37.239632795188356	35.71072918634	100.0	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB; summary chart YTD2025 label conflict avoided
AT High	14251	23125	61.62594594594595	7799	14122	55.225888684322335	6.4000572616236155	82.7285549429414	63.75159325874522	29.25659775815389	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
AT Low	23019	23392	98.40543775649795	17640	17962	98.20732657833203	0.1981111781659166	30.493197278911556	30.230486582785886	29.594392854431824	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
AT Mid	13539	14396	94.04695748819117	10205	11033	92.49524154808302	1.5517159401081528	32.67025967662911	30.481283422459903	18.21310189519496	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
Cub High	234	1368	17.105263157894736	226	931	24.2749731471536	-7.1697099892588625	3.539823008849563	46.93877551020409	1.7307254371093848	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
Cub Low	6713	6731	99.73258059723666	6025	6030	99.91708126036484	-0.18450066312817626	11.419087136929452	11.625207296849084	8.515725816654438	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
Cub Mid	2968	5284	56.169568508705524	2574	4817	53.4357483911148	2.7338201175907244	15.306915306915304	9.694830807556576	6.685053515852332	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
Sport High	6	42	14.285714285714285	4	22	18.181818181818183	-3.8961038961038987	50.0	90.90909090909092	0.0531363072796741	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
Sport Low	717	719	99.72183588317107	495	496	99.79838709677419	-0.07655121360312478	44.84848484848485	44.95967741935485	0.9096429746210876	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
Sport Mid	3584	3981	90.02763124843004	2417	2763	87.47737965979009	2.550251588639952	48.2829954489036	44.08251900108577	5.0365628400091085	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
Uncategorized	0	4	0.0	0	67	0.0	0.0		-94.02985074626866	0.005060600693302295	YTD_JAN_JUN_2026	YTD_JAN_JUN_2025	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026	Database Polreg 2025	Raw rows where Month(C)=1..6; Unit(G), Brand(H), Category 9 segment(J)	DERIVED_FROM_RAW_DB
