type	item_code	type_description	year	location_status	location	status	units	source_file	source_table_range	as_of	data_quality
ADV160 ABS	NB0-BK	N1N02Q33L2 A/T	2026	A172	3	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
ADV160 ABS	NB0-BK	N1N02Q33L2 A/T	2026	A172	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
ADV160 CBS	NA0-1B	N1N02Q43L2 A/T	2026	A115	10	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
ADV160 CBS	NA0-1B	N1N02Q43L2 A/T	2026	A115	3	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
ADV160 CBS	NA0-1B	N1N02Q43L2 A/T	2026	A115	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
ADV160 CBS	NA0-1B	N1N02Q43L2 A/T	2026	A115	5	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ1-BK	H1B02N41S3 A/T	2026	A185	13	NRFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ1-MH	H1B02N41S3 A/T	2026	A185	33	NRFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ1-MH	H1B02N41S3 A/T	2026	A185	34	NRFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ1-MH	H1B02N41S3 A/T	2026	A185	37	NRFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A317	20	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A317	21	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A318	1	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A318	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A318	5	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A318	6	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A319	6	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A319	7	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A319	8	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A319	9	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	11	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	15	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	16	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	17	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	18	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	2	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	20	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	8	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31A	9	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31B	1	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A31B	2	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A321	15	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A323	1	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A323	3	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A323	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A323	5	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A344	28	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A344	40	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	1	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	10	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	11	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	12	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	13	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	14	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	15	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	16	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	17	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	18	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
