area_code	kabupaten	kecamatan	kelurahan_desa	source_sheet	kecamatan_source_row	kelurahan_source_row
AREA 12	Kota Jambi	ALAM BARAJO	Rawa Sari	Kota Jambi	18	21
AREA 21	Kota Jambi	ALAM BARAJO	Kenali Besar	Kota Jambi	18	22
AREA 22	Kota Jambi	ALAM BARAJO	Mayang Mangurai	Kota Jambi	18	23
AREA 23	Kota Jambi	ALAM BARAJO	Bagan Pete	Kota Jambi	18	24
AREA 24	Kota Jambi	ALAM BARAJO	Beliung	Kota Jambi	18	25
AREA 28	Kota Jambi	ALAM BARAJO	Simpang Rimbo	Kota Jambi	18	26
AREA 29	Kota Jambi	ALAM BARAJO	Pinang Merah	Kota Jambi	18	27
AREA 25	Kota Jambi	DANAU SIPIN	Selamat	Kota Jambi	30	33
AREA 3	Kota Jambi	DANAU SIPIN	Murni	Kota Jambi	30	34
AREA 4	Kota Jambi	DANAU SIPIN	Legok	Kota Jambi	30	35
AREA 5	Kota Jambi	DANAU SIPIN	Solok Sipin	Kota Jambi	30	36
AREA 6	Kota Jambi	DANAU SIPIN	Sungai Putri	Kota Jambi	30	37
AREA 65	Kota Jambi	DANAU TELUK	Ulu Gedong	Kota Jambi	40	43
AREA 66	Kota Jambi	DANAU TELUK	Olak Kemang	Kota Jambi	40	44
AREA 67	Kota Jambi	DANAU TELUK	Tanjung Pasir	Kota Jambi	40	45
AREA 68	Kota Jambi	DANAU TELUK	Tanjung Raden	Kota Jambi	40	46
AREA 69	Kota Jambi	DANAU TELUK	Pasir Panjang	Kota Jambi	40	47
AREA 30	Kota Jambi	JAMBI SELATAN	Wijaya Pura	Kota Jambi	50	53
AREA 31	Kota Jambi	JAMBI SELATAN	Pakuan Baru	Kota Jambi	50	54
AREA 41	Kota Jambi	JAMBI SELATAN	The hok	Kota Jambi	50	55
AREA 46	Kota Jambi	JAMBI SELATAN	Pasir Putih	Kota Jambi	50	56
AREA 47	Kota Jambi	JAMBI SELATAN	Tambak Sari	Kota Jambi	50	57
AREA 49	Kota Jambi	JAMBI TIMUR	Kasang Jaya	Kota Jambi	60	63
AREA 50	Kota Jambi	JAMBI TIMUR	Kasang	Kota Jambi	60	64
AREA 51	Kota Jambi	JAMBI TIMUR	Talang Banjar	Kota Jambi	60	65
AREA 52	Kota Jambi	JAMBI TIMUR	Rajawali	Kota Jambi	60	66
AREA 53	Kota Jambi	JAMBI TIMUR	Sulanjana	Kota Jambi	60	67
AREA 54	Kota Jambi	JAMBI TIMUR	Budiman	Kota Jambi	60	68
AREA 55	Kota Jambi	JAMBI TIMUR	Tanjung Pinang	Kota Jambi	60	69
AREA 56	Kota Jambi	JAMBI TIMUR	Tanjung Sari	Kota Jambi	60	70
AREA 58	Kota Jambi	JAMBI TIMUR	Sejinjang	Kota Jambi	60	71
AREA 33	Kota Jambi	JELUTUNG	Talang Jauh	Kota Jambi	74	77
AREA 35	Kota Jambi	JELUTUNG	Cempaka Putih	Kota Jambi	74	78
AREA 36	Kota Jambi	JELUTUNG	Lebak Bandung	Kota Jambi	74	79
AREA 37	Kota Jambi	JELUTUNG	Payo Lebar	Kota Jambi	74	80
AREA 38	Kota Jambi	JELUTUNG	Jelutung	Kota Jambi	74	81
AREA 39	Kota Jambi	JELUTUNG	Kebun Handil	Kota Jambi	74	82
AREA 40	Kota Jambi	JELUTUNG	Handil Jaya	Kota Jambi	74	83
AREA 14	Kota Jambi	KOTA BARU	Simpang III Sipin	Kota Jambi	86	89
AREA 15	Kota Jambi	KOTA BARU	Sukakarya	Kota Jambi	86	90
AREA 16	Kota Jambi	KOTA BARU	Paal Lima	Kota Jambi	86	91
AREA 17	Kota Jambi	KOTA BARU	Kenali Asam Bawah	Kota Jambi	86	92
AREA 18	Kota Jambi	KOTA BARU	Kenali Asam Atas	Kota Jambi	86	93
AREA 19	Kota Jambi	KOTA BARU	Talang Gulo	Kota Jambi	86	94
AREA 20	Kota Jambi	KOTA BARU	Kenali Asam	Kota Jambi	86	95
AREA 42	Kota Jambi	PAAL MERAH	Talang Bakung	Kota Jambi	98	101
AREA 43	Kota Jambi	PAAL MERAH	Eka Jaya	Kota Jambi	98	102
AREA 44	Kota Jambi	PAAL MERAH	Lingkar Selatan	Kota Jambi	98	103
AREA 45	Kota Jambi	PAAL MERAH	Paal Merah	Kota Jambi	98	104
AREA 48	Kota Jambi	PAAL MERAH	Bakung Jaya	Kota Jambi	98	105
AREA 57	Kota Jambi	PAAL MERAH	Payo Selincah	Kota Jambi	98	106
AREA 1	Kota Jambi	PASAR JAMBI	Orang Kayo Hitam	Kota Jambi	109	112
AREA 2	Kota Jambi	PASAR JAMBI	Beringin	Kota Jambi	109	113
AREA 32	Kota Jambi	PASAR JAMBI	Pasar Jambi	Kota Jambi	109	114
AREA 34	Kota Jambi	PASAR JAMBI	Sungai Asam	Kota Jambi	109	115
AREA 59	Kota Jambi	PELAYANGAN	Arab Melayu	Kota Jambi	118	121
AREA 60	Kota Jambi	PELAYANGAN	Jelmu	Kota Jambi	118	122
AREA 61	Kota Jambi	PELAYANGAN	Mudung Laut	Kota Jambi	118	123
AREA 62	Kota Jambi	PELAYANGAN	Tengah	Kota Jambi	118	124
AREA 63	Kota Jambi	PELAYANGAN	Tahtul Yaman	Kota Jambi	118	125
AREA 64	Kota Jambi	PELAYANGAN	Tanjung Johor	Kota Jambi	118	126
AREA 10	Kota Jambi	TELANAIPURA	Simpang Empat Sipin	Kota Jambi	129	132
AREA 11	Kota Jambi	TELANAIPURA	Penyengat Rendah	Kota Jambi	129	133
AREA 26	Kota Jambi	TELANAIPURA	Pematang Sulur	Kota Jambi	129	134
AREA 27	Kota Jambi	TELANAIPURA	Aur Kenali	Kota Jambi	129	135
AREA 7	Kota Jambi	TELANAIPURA	Telanai pura	Kota Jambi	129	136
AREA 8	Kota Jambi	TELANAIPURA	Buluran Kenali	Kota Jambi	129	137
AREA 9	Kota Jambi	TELANAIPURA	Teluk Kenali	Kota Jambi	129	138
AREA 129	Ma. Jambi	BAHAR SELATAN	Bukit Subur	Ma. Jambi	18	21
AREA 130	Ma. Jambi	BAHAR SELATAN	Tri Jaya	Ma. Jambi	18	22
AREA 131	Ma. Jambi	BAHAR SELATAN	Mekar Jaya	Ma. Jambi	18	23
AREA 132	Ma. Jambi	BAHAR SELATAN	Ujung Tanjung	Ma. Jambi	18	24
AREA 133	Ma. Jambi	BAHAR SELATAN	Tanjung Baru	Ma. Jambi	18	25
AREA 134	Ma. Jambi	BAHAR SELATAN	Tanjung Mulya	Ma. Jambi	18	26
AREA 135	Ma. Jambi	BAHAR SELATAN	Adipura Kencana	Ma. Jambi	18	27
AREA 136	Ma. Jambi	BAHAR SELATAN	Bukit Jaya	Ma. Jambi	18	28
AREA 137	Ma. Jambi	BAHAR SELATAN	Tanjung Sari	Ma. Jambi	18	29
AREA 138	Ma. Jambi	BAHAR SELATAN	Tanjung Lebar	Ma. Jambi	18	30
AREA 149	Ma. Jambi	BAHAR UTARA	Bahar Mulya	Ma. Jambi	33	36
AREA 144	Ma. Jambi	BAHAR UTARA	Bukit Mulya	Ma. Jambi	33	37
AREA 147	Ma. Jambi	BAHAR UTARA	Markanding	Ma. Jambi	33	38
AREA 143	Ma. Jambi	BAHAR UTARA	Matra Manunggal	Ma. Jambi	33	39
AREA 142	Ma. Jambi	BAHAR UTARA	Mulya Jaya	Ma. Jambi	33	40
AREA 146	Ma. Jambi	BAHAR UTARA	Pinang Tinggi	Ma. Jambi	33	41
AREA 145	Ma. Jambi	BAHAR UTARA	Sumber Jaya	Ma. Jambi	33	42
AREA 141	Ma. Jambi	BAHAR UTARA	Sumber Mulya	Ma. Jambi	33	43
AREA 148	Ma. Jambi	BAHAR UTARA	Sungai Dayo	Ma. Jambi	33	44
AREA 139	Ma. Jambi	BAHAR UTARA	Talang Bukit	Ma. Jambi	33	45
AREA 140	Ma. Jambi	BAHAR UTARA	Talang Datar	Ma. Jambi	33	46
AREA 83	Ma. Jambi	JAMBI LUAR KOTA	Danau Sarang Elang	Ma. Jambi	49	52
AREA 87	Ma. Jambi	JAMBI LUAR KOTA	Kedemangan	Ma. Jambi	49	53
AREA 202	Ma. Jambi	JAMBI LUAR KOTA	Maro Sebo	Ma. Jambi	49	54
AREA 74	Ma. Jambi	JAMBI LUAR KOTA	Mendalo Darat	Ma. Jambi	49	55
AREA 85	Ma. Jambi	JAMBI LUAR KOTA	Mendalo Indah	Ma. Jambi	49	56
AREA 77	Ma. Jambi	JAMBI LUAR KOTA	Mendalo Laut	Ma. Jambi	49	57
AREA 82	Ma. Jambi	JAMBI LUAR KOTA	Muhajirin	Ma. Jambi	49	58
AREA 86	Ma. Jambi	JAMBI LUAR KOTA	Pematang Gajah	Ma. Jambi	49	59
AREA 72	Ma. Jambi	JAMBI LUAR KOTA	Pematang Jering	Ma. Jambi	49	60
AREA 80	Ma. Jambi	JAMBI LUAR KOTA	Penyengat Olak	Ma. Jambi	49	61
AREA 70	Ma. Jambi	JAMBI LUAR KOTA	Pijoan	Ma. Jambi	49	62
AREA 75	Ma. Jambi	JAMBI LUAR KOTA	Rengas Bandung	Ma. Jambi	49	63
AREA 76	Ma. Jambi	JAMBI LUAR KOTA	Sarang Burung	Ma. Jambi	49	64
AREA 78	Ma. Jambi	JAMBI LUAR KOTA	Sembubuk	Ma. Jambi	49	65
AREA 79	Ma. Jambi	JAMBI LUAR KOTA	Senaung	Ma. Jambi	49	66
AREA 84	Ma. Jambi	JAMBI LUAR KOTA	Simpang Limo	Ma. Jambi	49	67
AREA 81	Ma. Jambi	JAMBI LUAR KOTA	Simpang Sungai Duren	Ma. Jambi	49	68
AREA 71	Ma. Jambi	JAMBI LUAR KOTA	Sungai Bertam	Ma. Jambi	49	69
AREA 73	Ma. Jambi	JAMBI LUAR KOTA	Sungai Duren	Ma. Jambi	49	70
AREA 150	Ma. Jambi	KUMPEH	Tanjung	Ma. Jambi	73	76
AREA 151	Ma. Jambi	KUMPEH	Rantau Panjang	Ma. Jambi	73	77
AREA 152	Ma. Jambi	KUMPEH	Mekar Sari	Ma. Jambi	73	78
AREA 153	Ma. Jambi	KUMPEH	Puding	Ma. Jambi	73	79
AREA 154	Ma. Jambi	KUMPEH	Pulau Mentaro	Ma. Jambi	73	80
AREA 155	Ma. Jambi	KUMPEH	Betung	Ma. Jambi	73	81
AREA 156	Ma. Jambi	KUMPEH	Pematang Raman	Ma. Jambi	73	82
AREA 157	Ma. Jambi	KUMPEH	Sungai Bungur	Ma. Jambi	73	83
AREA 158	Ma. Jambi	KUMPEH	Seponjen	Ma. Jambi	73	84
AREA 159	Ma. Jambi	KUMPEH	Sogo	Ma. Jambi	73	85
AREA 160	Ma. Jambi	KUMPEH	Sungai Aur	Ma. Jambi	73	86
AREA 161	Ma. Jambi	KUMPEH	Jebus	Ma. Jambi	73	87
AREA 162	Ma. Jambi	KUMPEH	Gedong Karya	Ma. Jambi	73	88
AREA 163	Ma. Jambi	KUMPEH	Londerang	Ma. Jambi	73	89
AREA 164	Ma. Jambi	KUMPEH	Petanang	Ma. Jambi	73	90
AREA 165	Ma. Jambi	KUMPEH	Rondang	Ma. Jambi	73	91
AREA 166	Ma. Jambi	KUMPEH	Maju Jaya	Ma. Jambi	73	92
AREA 167	Ma. Jambi	KUMPEH ULU	SungaI terap	Ma. Jambi	95	98
AREA 168	Ma. Jambi	KUMPEH ULU	Pudak	Ma. Jambi	95	99
AREA 169	Ma. Jambi	KUMPEH ULU	Muara Kumpeh	Ma. Jambi	95	100
AREA 170	Ma. Jambi	KUMPEH ULU	Koto Karang	Ma. Jambi	95	101
AREA 171	Ma. Jambi	KUMPEH ULU	Kasang Lopak Alai	Ma. Jambi	95	102
AREA 172	Ma. Jambi	KUMPEH ULU	Kasang Pudak	Ma. Jambi	95	103
AREA 173	Ma. Jambi	KUMPEH ULU	Solok	Ma. Jambi	95	104
AREA 174	Ma. Jambi	KUMPEH ULU	Sakean	Ma. Jambi	95	105
AREA 175	Ma. Jambi	KUMPEH ULU	Lopak Alai	Ma. Jambi	95	106
AREA 176	Ma. Jambi	KUMPEH ULU	Tarikan	Ma. Jambi	95	107
AREA 177	Ma. Jambi	KUMPEH ULU	Ramin	Ma. Jambi	95	108
AREA 178	Ma. Jambi	KUMPEH ULU	Teluk Raya	Ma. Jambi	95	109
AREA 179	Ma. Jambi	KUMPEH ULU	Pemunduran	Ma. Jambi	95	110
AREA 180	Ma. Jambi	KUMPEH ULU	Sipin Teluk Duren	Ma. Jambi	95	111
AREA 181	Ma. Jambi	KUMPEH ULU	Arang-Arang	Ma. Jambi	95	112
AREA 182	Ma. Jambi	KUMPEH ULU	Sumber Jaya	Ma. Jambi	95	113
AREA 183	Ma. Jambi	KUMPEH ULU	Kasang Kumpeh	Ma. Jambi	95	114
AREA 184	Ma. Jambi	KUMPEH ULU	Kasang Kota Karang	Ma. Jambi	95	115
AREA 201	Ma. Jambi	MARO SEBO	Baru	Ma. Jambi	118	121
AREA 203	Ma. Jambi	MARO SEBO	Jambi Kecil	Ma. Jambi	118	122
AREA 204	Ma. Jambi	MARO SEBO	Setiris	Ma. Jambi	118	123
AREA 205	Ma. Jambi	MARO SEBO	Tanjung Katung	Ma. Jambi	118	124
AREA 206	Ma. Jambi	MARO SEBO	Jambi Tulo	Ma. Jambi	118	125
AREA 207	Ma. Jambi	MARO SEBO	Danau Lamo	Ma. Jambi	118	126
AREA 208	Ma. Jambi	MARO SEBO	Muara Jambi	Ma. Jambi	118	127
AREA 209	Ma. Jambi	MARO SEBO	Niaso	Ma. Jambi	118	128
AREA 210	Ma. Jambi	MARO SEBO	Bakung	Ma. Jambi	118	129
AREA 211	Ma. Jambi	MARO SEBO	Danau Kedap	Ma. Jambi	118	130
AREA 212	Ma. Jambi	MARO SEBO	Mudung Darat	Ma. Jambi	118	131
AREA 213	Ma. Jambi	MARO SEBO	Lubuk Raman	Ma. Jambi	118	132
AREA 103	Ma. Jambi	MESTONG	Baru	Ma. Jambi	135	138
AREA 104	Ma. Jambi	MESTONG	Suka Damai	Ma. Jambi	135	139
AREA 105	Ma. Jambi	MESTONG	Suka Maju	Ma. Jambi	135	140
AREA 106	Ma. Jambi	MESTONG	Tempino	Ma. Jambi	135	141
AREA 107	Ma. Jambi	MESTONG	Tanjung Pauh Km 32	Ma. Jambi	135	142
AREA 108	Ma. Jambi	MESTONG	Pelempang	Ma. Jambi	135	143
AREA 109	Ma. Jambi	MESTONG	Sungai Landai	Ma. Jambi	135	144
AREA 110	Ma. Jambi	MESTONG	Ibru	Ma. Jambi	135	145
AREA 111	Ma. Jambi	MESTONG	Naga Sari	Ma. Jambi	135	146
AREA 112	Ma. Jambi	MESTONG	Sebapo	Ma. Jambi	135	147
AREA 113	Ma. Jambi	MESTONG	Tanjung Pauh KM 39	Ma. Jambi	135	148
AREA 114	Ma. Jambi	MESTONG	Nyogan	Ma. Jambi	135	149
AREA 115	Ma. Jambi	MESTONG	Pondok Meja	Ma. Jambi	135	150
AREA 116	Ma. Jambi	MESTONG	Muaro Sebapo	Ma. Jambi	135	151
AREA 117	Ma. Jambi	MESTONG	Tanjung Pauh Talang Pelita	Ma. Jambi	135	152
AREA 185	Ma. Jambi	SEKERNAN	Sengeti	Ma. Jambi	155	158
AREA 186	Ma. Jambi	SEKERNAN	Suak Putat	Ma. Jambi	155	159
AREA 187	Ma. Jambi	SEKERNAN	Rantau Majo	Ma. Jambi	155	160
AREA 188	Ma. Jambi	SEKERNAN	Pulau Kayu Aro	Ma. Jambi	155	161
