source_row	no	md	dealer_code	pos_sequence	reported_code_before	revised_code	pos_type	pos_name_source	kabupaten	kecamatan	internal_pos_name	nms_code_source	source_note	in_tsd_list	source_comment	data_quality_state
5	1	SSP	7628	1	7628-0001	7628-0001	H123	HSO - Jambi	Kota Jambi	Paal Merah	POS ASTRA - LIVERPOOL	7628.1		YES		NO_EXPLICIT_ISSUE
6	2	SSP	12598	1	12598-0001	12598-0001	H123	TDM - Jambi	Kota Jambi	Telanai Pura	POS TUNAS JAMBI - BULURAN	12598.1		YES		NO_EXPLICIT_ISSUE
7	3	SSP	12142	2	12142-0002	12142-0001	H1	Daya Motor - Jambi	Kota Jambi	Alam Barajo	POS DAYA - SUNDERLAND	12142.1	merupakan H23	NO		CODE_REVISED|TYPE_NOTE_CONFLICT_H1_VS_H23|NOT_MARKED_IN_TSD
8	6	SSP	13384	1	13384-0001	13384-0001	H123	PAS Jambi	Muara Jambi	Sei Gelam	POS PATRIA - SEI. GELAM	13384.1		YES		NO_EXPLICIT_ISSUE
9	4	SSP	13384	2	13384-0002	13384-0002	H123	PAS Jambi	Kota Jambi	Jambi Timur	POS PATRIA - SIJENJANG	13384.2		YES		NO_EXPLICIT_ISSUE
10	5	SSP	13384	3	13384-0003	13384-0003	H1	PAS Jambi	Muara Jambi	Jambi Luar Kota	POS PATRIA - MENDALO	13384.3	merupakan H23	NO		TYPE_NOTE_CONFLICT_H1_VS_H23|NOT_MARKED_IN_TSD
11	11	SSP	13384	6	13384-0006	13384-0004	H1	PAS Jambi	Tanjab Barat	Tungkal Ilir	POS PATRIA - TUNGKAL	13384.6	merupakan H23	NO		CODE_REVISED|TYPE_NOTE_CONFLICT_H1_VS_H23|NOT_MARKED_IN_TSD
12	9	SSP	13382	1	13382-0001	13382-0001	H123	PT PAS - Sarolangun	Sarolangun	Pauh	POS PATRIA - PAUH	13382.1		YES		NO_EXPLICIT_ISSUE
13	7	SSP	13382	2	13382-0002	13382-0002	H1	PT PAS - Sarolangun	Bungo	Pasar Muaro Bungo	POS PATRIA - BUNGO	13382.2	merupakan H23	NO		TYPE_NOTE_CONFLICT_H1_VS_H23|NOT_MARKED_IN_TSD
14	8	SSP	12143	1	12143-0001	12143-0001	H123	Daya Motor - Rimbo Bujang	Tebo	Tebo Ilir	POS DAYA - BENGKAL	12143.1		YES		NO_EXPLICIT_ISSUE
15	10	SSP	13388	1	13388-0001	13388-0001	H123	TDM Merlung	Tanjab Barat	Batang Asam	POS TUNAS MERLUNG - SEI. BADAR	13388.1		YES		NO_EXPLICIT_ISSUE
16	12	SSP	5621	1	5621-0001	5621-0001	H1	SSM - Rawasari	Tanjab Timur	Nipah Panjang	POS SSM - NIPAH PANJANG	5621.1	merupakan H23	NO		TYPE_NOTE_CONFLICT_H1_VS_H23|NOT_MARKED_IN_TSD
17	13	SSP	13381	1	13381-0001	13381-0001	H123	TDM Sabak	Tanjab Timur	Rantau-Rasau	POS TUNAS SABAK - RANTAU RASAU	13381.1		YES		NO_EXPLICIT_ISSUE
18	14	SSP	3538	1	-	3538-0001	H23	PT. CITRA LENCANA SAKTI - PAMENANG						NO	menginduk ke CLS Bangko	CODE_REVISED|LOCATION_INCOMPLETE|NOT_MARKED_IN_TSD
