dealer	ytd	Jan	Feb	Mar	Apr	May	Jun	Jul	source_file	source_sheet	source_range	currentness	data_quality
PT. SINAR SENTOSA MOTORA - ABUNJANI	1371	191	166	204	138	211	215	246	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SINAR SENTOSA MOTORA - PAAL VI	1137	157	180	181	136	124	172	187	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SINAR SENTOSA MOTORA - WAHIDIN	87	5	5	8	15	15	17	22	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SINAR SENTOSA MOTORA - HANDIL	348	40	45	61	34	47	49	72	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. CITRA KARYA INTISENTOSA I	228	32	39	38	26	25	29	39	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. CITRA KARYA INTISENTOSA II	227	36	29	37	24	17	27	57	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SENTOSA SAKTI MOTOR - MAYANG	1151	139	176	226	99	121	133	257	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SENTOSA SAKTI MOTOR - THEHOK	572	61	79	72	68	84	78	130	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. ASTRA INTERNATIONAL TBK-HONDA	2964	336	401	508	361	437	480	441	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. TUNAS DWIPA MATRA - JAMBI	1465	233	197	240	165	199	186	245	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
