area	ytd	Jan	Feb	Mar	Apr	May	Jun	Jul	source_file	source_sheet	source_range	privacy_transform	data_quality
KAB. BATANG HARI	5365	703	741	861	642	709	733	976	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. BUNGO	8337	1219	1381	1361	978	986	1123	1289	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. KERINCI	2	1	0	0	1	0	0	0	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. MERANGIN	11073	1729	1756	1780	1264	1422	1408	1714	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. MUARO JAMBI	9856	1339	1382	1588	1223	1307	1346	1671	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. MUSI BANYUASIN	1	0	0	0	1	0	0	0	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. SAROLANGUN	9033	1308	1286	1363	1091	1252	1254	1479	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. TANJUNG JABUNG BARAT	6792	990	1008	1123	855	870	894	1052	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. TANJUNG JABUNG TIMUR	3308	426	484	582	440	402	418	556	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KAB. TEBO	8777	1215	1351	1454	981	1054	1225	1497	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KOTA JAMBI	11422	1615	1555	1648	1545	1477	1575	2007	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
KOTA SUNGAI PENUH	2	0	0	1	1	0	0	0	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
