dealer	ytd	Jan	Feb	Mar	Apr	May	Jun	Jul	source_file	source_sheet	source_range	privacy_transform	data_quality
ANUGRAH HONDA MOTOR	1525	231	233	224	195	196	191	255	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. AGUNG MOTOR	1014	121	160	172	123	121	140	177	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. BOBBY RACING SHOP	1427	218	195	224	160	172	195	263	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. CITRA SENTOSA MOTOR - M.ANGIN	823	112	115	113	102	127	108	146	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. CITRA SENTOSA MOTOR - SRLG	1604	252	245	262	188	201	193	263	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. MAKMUR SENTOSA MOTOR	1525	196	274	301	160	174	191	229	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. MITRA SENTOSA MAS	1371	193	214	226	141	177	188	232	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. WULAN JAYA MOTOR - RIMBO	2474	329	381	389	273	299	361	442	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
CV. WULAN JAYA MOTOR - TEBO	1349	199	203	240	141	144	186	236	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS ASTRA - LIVERPOOL	839	133	112	143	105	115	112	119	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
