type_code	type_description	ytd	Jan	Feb	Mar	Apr	May	Jun	Jul	source_file	source_sheet	source_range	privacy_transform	data_quality
ES7	CRF150L	166	41	31	25	15	24	16	14	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
ESF	CRF150L	3	1	1	0	1	0	0	0	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
ESK	CRF150L	560	174	139	53	39	61	63	31	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
ESL	CRF150L	3124	376	459	603	353	416	407	510	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
GB4	REVO FIT	3018	452	408	375	386	424	453	520	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
GD4	REVO X	4655	700	622	602	564	646	681	840	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
GE5	SUPRA X 125 SW	310	33	48	53	48	49	40	39	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
GF5	SUPRA X 125 CW	3060	423	428	495	362	415	420	517	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
HJ9	NEW SUPRA GTR150 SPORTY	161	22	24	24	25	17	21	28	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
HJK	NEW SUPRA GTR150	120	21	22	12	8	15	15	27	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
JM2	CBR 150R STD	4	1	0	0	1	0	2	0	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
JML	CBR 150R STD	13	4	1	2	0	1	2	3	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
