section	kabupaten_source	kecamatan	dealer_or_pos	ring_status	source_file	sheet	source_cell	currentness
Kota Jambi	JAMBI	ALAM BARAJO	CKIS I	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	C6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	CKIS II	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	D6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	DAM Jambi	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	E6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	HSO Jambi	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	F6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	MWP Rimbo	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	G6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	NSS Jambi	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	H6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	PAS JAMBI	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	I6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	POS DAM Chandra	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	J6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	POS DAM Mayang	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	K6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	POS HSO Liverpool	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	L6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	POS SSM Mayang	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	M6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	POS TDM Buluran	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	N6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	SM Talang Bakung	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	O6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	SSM Rawasari	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	P6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	SSM The Hok	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	Q6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	SSP Abunjani	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	R6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	SSP Handil	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	S6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	SSP Paal VI	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	T6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	SSP Wahidin	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	U6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	ALAM BARAJO	TDM Jambi	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	V6	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	CKIS I	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	C7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	CKIS II	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	D7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	DAM Jambi	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	E7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	HSO Jambi	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	F7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
