period	dealer	pos	synthetic_flp_id	role	active_status	retail_units	nos_mid	productivity_index	classification
2026-08	01001	POS-JMB-01	FLP-01001-01	SALES_COUNTER	ACTIVE	4	8	50.0	BELOW_EXPECTATION
2026-08	01001	POS-JMB-01	FLP-01001-02	WING_SALES_PEOPLE	ACTIVE	12	11	109.1	ABOVE_EXPECTATION
2026-08	01001	POS-JMB-02	FLP-01001-03	SALES_COUNTER	ACTIVE	7	8	87.5	WITHIN_EXPECTATION
2026-08	01001	POS-JMB-02	FLP-01001-04	SALES_COUNTER	ACTIVE	3	8	37.5	CRITICAL_GAP
2026-08	01002	POS-BGK-01	FLP-01002-01	FIELD_SALES_CANVASSER	ACTIVE	7	6	116.7	ABOVE_EXPECTATION
2026-08	01002	POS-BGK-01	FLP-01002-02	SALES_COUNTER	ACTIVE	8	8	100.0	ABOVE_EXPECTATION
2026-08	01002	POS-BGK-02	FLP-01002-03	FIELD_SALES_CANVASSER	NEW_ONBOARDING	4	6	66.7	BELOW_EXPECTATION
2026-08	01003	POS-BGO-01	FLP-01003-01	WING_SALES_PEOPLE	ACTIVE	11	11	100.0	ABOVE_EXPECTATION
2026-08	01003	POS-BGO-01	FLP-01003-02	FIELD_SALES_CANVASSER	ACTIVE	6	6	100.0	ABOVE_EXPECTATION
2026-08	01003	POS-BGO-02	FLP-01003-03	SALES_COUNTER	DORMANT_INACTIVE	0	8	0.0	CRITICAL_GAP
2026-08	01004	POS-SRL-01	FLP-01004-01	SALES_COUNTER	ACTIVE	9	8	112.5	ABOVE_EXPECTATION
2026-08	01004	POS-SRL-01	FLP-01004-02	FIELD_SALES_CANVASSER	ACTIVE	5	6	83.3	WITHIN_EXPECTATION
