period	dealer_code	dealer_name	stock_total	ready_stock	soft_booking	unfill	intransit	aging_unit	stock_days	stock_health_classification
2026-08	01001	PT. CITRA LENCANA SAKTI - BANGKO	320	210	52	38	20	18	13.2	OPTIMAL_STOCK_HEALTH
2026-08	01002	PT. TUNAS DWIPA MATRA - BANGKO	315	205	50	40	20	16	13.0	OPTIMAL_STOCK_HEALTH
2026-08	01003	PT. TUNAS DWIPA MATRA - BUNGO	280	180	45	35	20	25	13.7	CRITICAL_AGING_HAZARD
2026-08	01004	PT. BADORAY MOTOR - LINTAS	250	165	40	30	15	12	12.8	OPTIMAL_STOCK_HEALTH
2026-08	01005	PT. CITRA LENCANA SAKTI - SINGKUT	240	140	35	50	15	8	13.4	UNDER_STOCKED_BOTTLENECK
2026-08	01006	CV. WULAN JAYA MOTOR - RIMBO	220	130	30	45	15	9	12.8	UNDER_STOCKED_BOTTLENECK
2026-08	01007	PT. ASTRA INTERNATIONAL TBK-HONDA	210	150	30	15	15	19	14.5	CRITICAL_AGING_HAZARD
2026-08	01008	PT. BULAN MOTOR - TUNGKAL	180	120	25	20	15	10	13.6	OPTIMAL_STOCK_HEALTH
2026-08	01009	PT. NUSANTARA SURYA SAKTI - JAMBI	175	115	25	20	15	11	14.6	OPTIMAL_STOCK_HEALTH
2026-08	01010	PT. BULAN MOTOR - MERLUNG	165	110	22	18	15	9	14.1	OPTIMAL_STOCK_HEALTH
